Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	MaskVol	EstimatedTotalIntraCranialVol
sub-12	2890.6	2023.8	5557.1	2586.6	481.7	6467.2	9614.8	6039.4	3371.0	8601.7	6058.8	4990.6	3797.8	5150.4	1524.6	3148.6	3271.7	856.3	2744.6	3031.4	7281.9	4124.1	11817.8	8528.3	1660.6	10025.9	15274.6	10589.8	6726.6	8733.0	254.9	485.8	692.5	8653.9	3092.2	2185.0	5377.6	2282.0	546.3	5646.5	10569.6	5781.1	3441.3	9152.9	5641.9	4567.4	3123.0	5638.6	1635.6	3811.2	2637.1	1052.2	2893.2	2779.7	7230.2	3678.7	12870.9	8344.7	1940.3	10100.2	15554.8	9258.6	5703.7	8664.4	296.8	551.7	520.9	8717.7	24971.8	25443.7	1286232.0	1187811.24284
sub-13	1966.2	2889.8	5570.1	2898.4	728.3	6058.9	8610.8	5323.6	3139.0	9941.4	5864.8	5319.7	3432.9	5273.1	1282.4	4140.1	2873.7	960.0	2880.7	4409.8	6721.7	4426.8	11359.3	8055.4	2640.2	13145.4	18951.8	11839.6	6520.8	8494.4	308.6	616.8	864.0	9004.0	2050.0	2806.2	5486.8	2960.1	745.9	5029.3	11503.7	4728.7	2714.2	8790.5	4898.6	6251.8	3649.7	6117.8	1365.7	5461.2	2554.8	1279.6	3014.3	4445.8	6579.6	4013.8	11829.4	8060.8	2126.3	12687.6	18682.9	10293.0	5922.5	9112.8	368.3	497.4	610.9	8600.6	23205.8	23572.2	1294692.0	1197176.16273
sub-14	2395.7	3487.6	7755.7	3776.5	1232.0	6868.2	11125.7	7319.6	4774.3	12898.8	8434.4	6151.5	4868.8	6917.7	1645.4	4825.9	4872.1	1266.3	3342.2	4968.0	9062.5	5833.9	17322.9	11814.9	2725.7	14926.9	23056.6	15022.1	12898.1	12601.0	296.9	738.5	1178.0	11045.7	2104.1	2955.0	7141.6	3791.9	1110.2	6943.1	14179.2	7270.4	3832.0	11159.6	8930.6	5967.3	4612.2	7912.4	1621.0	6460.5	4520.2	1738.0	4583.1	4062.9	8874.9	5112.0	16543.6	13555.0	2393.6	16111.3	24796.4	14136.5	8920.0	10653.7	369.7	711.3	683.5	10782.7	38420.5	39689.8	1761184.0	1415579.42115
sub-15	3289.7	2480.6	5900.3	2634.5	933.4	5801.5	10586.1	6001.9	3078.2	10252.9	6084.9	5489.0	3122.1	4399.4	1492.6	4315.1	3130.2	989.1	2661.8	2804.9	7297.6	4069.6	10919.7	10150.4	2625.8	10397.0	16276.6	13146.1	7666.0	9742.6	252.5	703.4	655.6	8617.3	2938.1	2742.7	4237.5	2570.9	899.8	5612.2	12046.4	5643.3	3134.5	9671.9	6482.3	5659.8	3909.8	5731.2	1384.0	4163.0	3166.3	1082.3	3652.7	2962.8	7571.1	3730.3	10428.7	10267.2	1697.7	10531.6	15685.8	11066.7	5570.6	9594.1	371.0	663.5	479.4	8041.6	25772.0	25743.1	1348050.0	1255199.56941
sub-16	4246.3	3171.4	7228.4	3360.2	1124.1	7328.5	9741.5	7824.6	4690.4	11651.8	8043.8	6365.3	5272.4	6452.2	1882.8	5445.3	3513.7	1236.4	3493.4	3951.0	10104.9	5183.4	15519.2	11897.7	2815.1	15517.6	23980.0	13612.5	8933.5	10463.0	443.8	843.6	884.8	11353.5	3481.5	3165.8	7364.1	3429.6	1239.8	6839.7	11838.3	6898.4	3810.5	11110.8	8602.9	7110.3	4082.2	7153.9	1754.6	5930.1	4832.7	1614.0	4500.0	3663.2	8417.6	4847.7	15798.4	13402.4	2214.3	16743.0	22058.8	14448.5	8309.2	10166.7	455.8	937.3	841.0	11499.4	40303.9	39655.2	1672464.0	1473383.2377
sub-17	2181.4	2468.3	5337.5	3174.8	567.5	5867.4	6679.9	5033.7	3619.2	10394.2	6366.0	6989.8	3644.5	5099.3	1538.9	3716.2	3767.5	1270.6	3421.6	3418.1	8025.0	4277.1	11549.6	7750.8	2250.0	12576.2	17924.6	11118.5	9184.3	9364.9	379.9	557.2	766.1	9261.6	2723.4	2362.8	5609.4	2920.1	865.5	6062.2	11611.6	5200.1	3319.7	11254.7	6295.0	5416.9	3465.5	5584.7	1592.4	5142.3	3579.9	1486.3	3501.8	3502.3	6849.6	3730.6	11909.0	7627.5	1605.1	12160.0	17507.3	10594.7	7205.2	7727.1	457.8	637.6	558.7	9045.9	27195.6	27961.1	1426816.0	1143638.73222
sub-18	1897.7	2404.6	6583.6	2776.6	836.0	5751.0	8664.8	6801.5	3614.4	11360.2	6960.1	5281.5	3618.6	5988.5	1429.8	4277.6	3712.3	1190.1	3654.2	3426.1	7606.0	4179.0	12807.4	8477.6	3177.6	13276.7	20447.6	10846.2	9572.9	10603.8	352.4	776.9	842.0	10346.2	3100.7	3986.8	5296.6	2994.2	951.1	5852.4	9522.1	7010.0	3163.7	13623.4	7591.7	5000.4	4481.4	6167.5	1435.3	5523.7	2973.1	1531.2	3800.5	3890.8	7864.9	4395.4	13878.7	8014.4	2292.2	14792.2	18611.6	10673.3	6306.7	7852.5	412.7	765.5	704.3	10406.6	28731.4	29156.0	1443211.0	1353927.00335
sub-19	3405.4	2879.7	6947.6	3084.2	1284.4	6591.1	9776.7	6546.1	3747.7	11626.2	7516.8	6224.2	4040.7	5297.5	1395.4	3542.7	4260.8	1259.8	3139.0	3203.5	6976.3	4164.4	13206.4	10316.5	2381.8	11473.0	17760.0	13494.1	7069.6	8373.9	327.0	543.3	651.2	9220.0	2972.1	2275.2	5630.8	3407.3	763.8	6037.2	10426.6	6615.7	3434.0	12498.5	7610.7	5846.6	4337.3	6175.1	1370.3	4562.9	3553.0	1536.1	3179.9	3854.9	7799.4	4012.3	13235.5	10300.5	1937.1	13190.2	18463.0	11613.4	6569.1	7906.9	393.7	679.1	471.9	8435.0	32834.2	34227.0	1425085.0	1214300.71916
sub-20	2015.1	2807.3	6453.4	3132.7	1064.3	6048.1	8710.7	6480.0	4290.6	11793.0	6970.7	6490.8	3829.5	6845.6	1719.9	4127.0	4367.0	1226.0	3425.9	3980.9	7849.8	4670.6	14222.7	9013.7	2646.5	13543.4	21010.7	13009.5	7681.6	8083.4	243.6	937.3	842.2	8750.4	2283.7	3255.5	5052.5	3155.4	1195.8	6135.4	9091.5	7202.9	3900.9	12320.3	6775.3	7604.1	4053.9	7161.7	1553.3	5522.2	3593.6	1722.1	4323.3	4118.9	8065.5	4657.7	14662.3	8741.3	1773.6	15350.4	19007.0	10590.9	6248.9	7598.6	366.7	1032.9	618.7	9544.2	38910.3	39152.2	1463824.0	1352590.10183
sub-21	4007.0	3392.3	6192.8	3517.1	885.0	6548.1	10088.7	7296.0	3992.0	10563.9	6617.2	6443.3	3725.2	5761.1	1720.8	3779.3	3526.1	930.8	2988.0	3861.7	6802.5	4904.9	11258.1	9704.9	2676.7	13395.0	17526.5	13440.5	8178.1	9164.1	275.2	804.1	955.9	9002.4	4018.2	2915.4	5905.3	3613.9	716.4	6030.1	12405.0	5623.2	3400.6	12024.0	7085.8	6688.4	3822.8	6437.2	1856.6	4975.9	2562.2	1076.5	3388.3	4132.8	8048.0	4196.5	12748.7	9832.8	1798.3	14382.6	19095.3	12079.7	7436.0	8850.8	394.9	746.3	598.1	9037.1	27934.9	29932.3	1393698.0	1270900.15294
sub-22	2980.9	2550.6	5839.1	2779.7	1231.4	6634.0	9643.1	5800.1	3646.0	11799.5	6816.5	5818.9	3877.3	5369.8	1559.0	3301.6	3412.1	967.9	2932.3	3396.3	6977.9	4454.9	11563.0	8898.2	2341.8	11577.9	18898.8	13282.8	7415.6	9190.7	312.6	675.6	897.6	8758.0	2748.9	2557.8	4536.5	3183.0	988.1	6920.8	9054.0	5833.6	3132.6	11967.7	6836.9	6087.0	4161.1	6779.5	1511.9	4531.8	2600.5	1510.3	3152.9	3851.2	7284.3	3666.6	13981.3	9108.5	1774.8	12498.2	17544.3	12537.8	7142.6	8667.4	441.9	877.4	530.8	9017.8	29435.1	30475.8	1407356.0	1204189.64952
sub-23	2693.7	2937.8	8010.9	3537.1	820.2	6893.7	8501.3	6407.2	3503.7	11157.0	7210.4	7757.8	4555.6	5029.4	1802.8	4300.3	3423.9	1193.3	3271.8	4621.7	7064.7	4529.6	16440.9	7081.9	2729.2	16254.6	20627.8	10137.1	8115.5	9588.4	352.7	765.1	740.5	9285.6	2683.5	3418.7	5240.9	3651.2	714.1	7206.3	9596.6	6093.0	3207.5	10698.9	7329.1	6862.3	4235.3	6401.5	1938.4	5187.3	4061.5	1596.9	4378.8	3775.9	8282.2	4114.8	16629.8	8438.7	1881.1	16284.0	20275.0	9471.5	7705.5	7570.4	579.1	645.7	458.9	9184.0	37558.3	38258.2	1495578.0	1320755.5733
sub-24	2547.2	2485.0	7016.8	3685.1	796.9	6865.7	12144.0	6373.4	3738.3	11716.8	7315.8	6401.0	3803.4	5278.4	1760.6	4451.0	5119.1	1314.1	4062.2	3400.2	8210.7	4356.0	15157.3	11250.6	2452.3	13447.9	20290.8	13272.6	9900.3	11037.3	296.7	769.3	1130.7	11002.9	3050.1	2512.6	5598.1	3821.1	697.8	6757.5	12014.0	5587.9	3886.7	14003.0	7568.9	7012.1	3909.8	7056.4	2098.3	4349.3	4158.3	1582.8	3326.6	3933.7	8035.2	4945.4	14376.5	11544.2	2209.0	16126.9	18203.8	12206.5	7436.4	9553.8	304.9	571.5	680.4	10355.0	37367.5	37724.4	1590633.0	1382896.68629
sub-25	2569.4	2886.6	5834.3	2021.6	737.2	6447.7	10010.7	6046.3	3215.7	7470.9	6654.8	4171.5	3041.4	4297.0	1544.9	3972.5	2938.7	1022.7	3220.5	1928.9	6699.6	4350.9	11918.6	9437.2	3223.4	11654.5	17418.7	12498.5	7982.1	7371.3	270.3	551.4	845.5	9232.8	2142.3	2305.0	4833.1	2570.2	925.8	6451.4	10131.3	5380.8	2884.7	8157.4	6916.7	4546.0	3886.7	5242.3	1623.7	4311.6	3220.6	1489.6	3802.8	2241.8	6366.1	4551.5	11554.7	8091.1	1461.3	14251.9	16174.6	11133.0	7245.9	8162.2	375.5	605.5	603.7	8850.8	28904.0	31799.3	1330421.0	994059.001953
sub-26	2678.8	2634.1	5822.9	2464.9	973.0	6153.5	10932.0	6237.3	3168.4	10970.7	6213.0	5562.5	3155.2	4757.3	1671.8	4342.7	2903.3	979.0	2868.5	2968.3	5928.3	4647.3	11974.9	7742.1	2138.3	11265.2	16609.3	11311.9	6067.5	7124.0	235.7	618.6	869.5	8098.4	2692.1	2612.6	5275.4	2758.7	802.6	4704.9	11925.2	5270.0	3010.6	10454.7	6026.2	5545.7	3086.3	5460.7	1408.5	4892.7	2663.6	1266.2	2706.6	2906.2	6360.8	3883.4	12482.3	8809.7	1919.0	10739.2	17587.0	10114.4	5829.4	6475.1	309.6	524.1	589.2	8010.4	31554.7	31139.0	1327602.0	1077378.12019
sub-27	2949.2	2930.1	7846.7	2872.1	1019.6	7045.7	9177.2	7019.7	3973.1	11337.3	7327.7	6325.0	4139.7	5191.5	1596.4	5826.9	3583.3	1289.5	2989.4	3057.1	8550.4	4886.3	14867.3	10230.5	3159.2	14989.7	22824.4	12748.2	9172.6	7841.3	342.7	750.6	1120.2	10639.9	2585.3	4042.1	6861.1	2731.9	1222.8	5679.5	10688.9	6646.4	3130.9	9716.3	7637.9	6564.7	4220.4	6504.4	1587.5	6040.4	2847.3	1760.0	3510.6	3241.7	7999.0	4926.4	15306.7	10329.7	2140.4	15523.5	20107.5	10613.0	7729.2	9735.3	476.5	823.2	738.4	10673.6	32751.9	32387.7	1513363.0	1361237.42409
sub-28	3437.6	3506.5	7440.8	3578.1	773.9	8005.5	10292.5	8095.7	3994.0	12799.6	6642.3	7232.5	3798.0	7394.7	1807.5	3981.8	3503.6	1174.7	2903.6	4617.7	8647.0	5001.1	15047.1	9636.8	3425.0	15634.1	19566.6	12281.0	8592.9	9125.5	280.0	844.4	1100.6	8495.7	3522.6	2921.1	5581.5	2927.2	844.4	8291.6	11885.2	7543.3	4621.3	12719.8	6803.8	7790.9	4429.6	7970.1	1983.4	4266.9	3864.2	1471.4	3602.7	4499.5	7937.6	4635.0	14474.1	10399.8	2536.3	17388.4	18634.9	13125.7	7899.3	10015.4	438.5	878.5	666.5	9579.0	40724.6	40743.3	1522164.0	1369723.88152
sub-29	2740.3	3484.2	7127.5	2923.0	942.4	5763.1	10279.3	7050.0	3997.3	11181.9	7327.3	5420.5	4294.9	6137.2	1538.5	4141.8	3330.4	1087.7	3262.5	3058.5	7137.3	4377.2	13789.9	9685.4	2856.9	13886.0	17704.0	13446.3	6914.4	7092.4	343.8	655.8	745.1	10363.6	2509.7	3086.6	7124.6	2681.1	996.6	6312.2	12515.6	5138.5	3393.8	9853.7	7427.4	5379.7	3870.1	5774.7	1846.8	5051.5	3522.5	1580.3	3738.1	2775.6	6683.3	3849.9	12148.1	10865.3	2071.8	13475.0	19676.5	13591.3	6004.0	7373.7	434.8	711.7	809.3	9642.7	28733.2	28685.7	1494577.0	1315281.79791
sub-30	2526.4	2519.1	6032.8	3411.8	992.4	6985.2	8835.3	7083.3	3586.7	12267.3	6940.2	6914.8	5044.5	5860.5	1830.0	3089.4	3895.2	1142.9	3417.0	3905.8	7616.2	4060.7	14765.4	7985.8	2437.6	10988.8	19871.6	11224.4	10138.1	8378.5	259.3	805.5	981.6	10610.0	2427.8	2123.2	6312.1	3526.0	975.0	6507.0	9923.1	7457.0	4256.9	14189.7	7601.0	6729.4	3744.2	6612.5	1488.1	4065.1	2993.6	1757.4	3557.2	3870.2	8032.6	3943.9	13688.1	8717.7	1639.2	12703.7	18890.6	11051.2	8140.1	8030.5	334.4	900.1	602.4	10455.4	43047.6	45152.4	1384150.0	1050158.83424
sub-31	2656.0	2939.2	6750.5	2590.5	1166.1	6860.5	8209.0	5035.8	3057.0	10434.1	6271.8	4673.7	3003.2	5622.1	1676.7	4290.6	3393.1	1176.6	2505.9	3083.7	6637.1	4018.1	13415.6	7871.3	2286.3	11639.1	17470.5	11367.1	7951.8	8327.6	264.0	665.4	832.4	8600.8	2035.6	2231.6	5583.7	2754.1	1112.2	6571.4	10140.4	5191.1	2694.8	9583.1	6639.4	5004.4	3937.6	5893.9	1440.6	4610.3	2853.6	1094.1	2897.9	2884.7	7893.4	3701.4	14139.5	8976.9	1785.9	11528.0	16123.7	11184.3	7251.4	7867.3	350.9	603.2	561.8	7701.9	29021.3	29369.4	1359989.0	1023053.18348
