rh.aparc.a2009s.volume	rh_G_and_S_frontomargin_volume	rh_G_and_S_occipital_inf_volume	rh_G_and_S_paracentral_volume	rh_G_and_S_subcentral_volume	rh_G_and_S_transv_frontopol_volume	rh_G_and_S_cingul-Ant_volume	rh_G_and_S_cingul-Mid-Ant_volume	rh_G_and_S_cingul-Mid-Post_volume	rh_G_cingul-Post-dorsal_volume	rh_G_cingul-Post-ventral_volume	rh_G_cuneus_volume	rh_G_front_inf-Opercular_volume	rh_G_front_inf-Orbital_volume	rh_G_front_inf-Triangul_volume	rh_G_front_middle_volume	rh_G_front_sup_volume	rh_G_Ins_lg_and_S_cent_ins_volume	rh_G_insular_short_volume	rh_G_occipital_middle_volume	rh_G_occipital_sup_volume	rh_G_oc-temp_lat-fusifor_volume	rh_G_oc-temp_med-Lingual_volume	rh_G_oc-temp_med-Parahip_volume	rh_G_orbital_volume	rh_G_pariet_inf-Angular_volume	rh_G_pariet_inf-Supramar_volume	rh_G_parietal_sup_volume	rh_G_postcentral_volume	rh_G_precentral_volume	rh_G_precuneus_volume	rh_G_rectus_volume	rh_G_subcallosal_volume	rh_G_temp_sup-G_T_transv_volume	rh_G_temp_sup-Lateral_volume	rh_G_temp_sup-Plan_polar_volume	rh_G_temp_sup-Plan_tempo_volume	rh_G_temporal_inf_volume	rh_G_temporal_middle_volume	rh_Lat_Fis-ant-Horizont_volume	rh_Lat_Fis-ant-Vertical_volume	rh_Lat_Fis-post_volume	rh_Pole_occipital_volume	rh_Pole_temporal_volume	rh_S_calcarine_volume	rh_S_central_volume	rh_S_cingul-Marginalis_volume	rh_S_circular_insula_ant_volume	rh_S_circular_insula_inf_volume	rh_S_circular_insula_sup_volume	rh_S_collat_transv_ant_volume	rh_S_collat_transv_post_volume	rh_S_front_inf_volume	rh_S_front_middle_volume	rh_S_front_sup_volume	rh_S_interm_prim-Jensen_volume	rh_S_intrapariet_and_P_trans_volume	rh_S_oc_middle_and_Lunatus_volume	rh_S_oc_sup_and_transversal_volume	rh_S_occipital_ant_volume	rh_S_oc-temp_lat_volume	rh_S_oc-temp_med_and_Lingual_volume	rh_S_orbital_lateral_volume	rh_S_orbital_med-olfact_volume	rh_S_orbital-H_Shaped_volume	rh_S_parieto_occipital_volume	rh_S_pericallosal_volume	rh_S_postcentral_volume	rh_S_precentral-inf-part_volume	rh_S_precentral-sup-part_volume	rh_S_suborbital_volume	rh_S_subparietal_volume	rh_S_temporal_inf_volume	rh_S_temporal_sup_volume	rh_S_temporal_transverse_volume
sub-12	1213.0	1900.0	1860.0	3319.0	2219.0	4864.0	2342.0	2474.0	1226.0	659.0	2107.0	3031.0	1413.0	1574.0	7887.0	14721.0	1272.0	1927.0	4641.0	1941.0	5246.0	3331.0	3653.0	6418.0	5465.0	6117.0	4001.0	3132.0	6063.0	4778.0	1749.0	670.0	795.0	4483.0	1563.0	1551.0	6990.0	7697.0	590.0	473.0	1795.0	3928.0	5138.0	2068.0	2976.0	1530.0	1013.0	1597.0	1888.0	1310.0	488.0	2395.0	2766.0	3421.0	295.0	3967.0	965.0	1270.0	906.0	1760.0	2648.0	561.0	1150.0	2028.0	2620.0	1102.0	2571.0	2107.0	1721.0	490.0	1504.0	1458.0	8896.0	497.0
sub-13	1503.0	2033.0	2708.0	3895.0	2358.0	6773.0	3103.0	3377.0	1591.0	739.0	2830.0	3495.0	1062.0	2362.0	9660.0	18986.0	1801.0	2140.0	4442.0	2862.0	3881.0	5382.0	3886.0	6166.0	7887.0	6471.0	4565.0	3294.0	5696.0	5154.0	2152.0	654.0	952.0	4876.0	1616.0	1372.0	5351.0	8522.0	459.0	170.0	1994.0	4496.0	4640.0	3183.0	2880.0	1996.0	875.0	1736.0	2025.0	1405.0	742.0	2433.0	3267.0	4488.0	602.0	4087.0	913.0	1756.0	776.0	980.0	2418.0	732.0	899.0	2133.0	2921.0	1440.0	2801.0	2081.0	1828.0	785.0	1622.0	1776.0	9285.0	658.0
sub-14	1894.0	2637.0	2688.0	3795.0	3025.0	6922.0	3297.0	3541.0	1495.0	522.0	3637.0	3735.0	1357.0	2601.0	11014.0	19913.0	1926.0	2592.0	4809.0	2965.0	4902.0	4901.0	4261.0	7165.0	6995.0	6727.0	5478.0	3717.0	7139.0	6893.0	2512.0	978.0	1267.0	6468.0	2223.0	1861.0	6469.0	9004.0	500.0	462.0	2267.0	5455.0	6219.0	3203.0	3775.0	2490.0	1272.0	2382.0	2131.0	1760.0	696.0	3239.0	4554.0	4471.0	709.0	5352.0	759.0	1745.0	1472.0	1214.0	3017.0	814.0	1248.0	2959.0	3582.0	1519.0	3523.0	3171.0	2181.0	548.0	2697.0	2214.0	10952.0	581.0
sub-15	1815.0	1936.0	2217.0	3681.0	2624.0	6412.0	2626.0	2539.0	1528.0	617.0	2255.0	3926.0	1033.0	3537.0	9160.0	15417.0	1758.0	2060.0	5278.0	2043.0	4903.0	4368.0	4061.0	6840.0	8893.0	6658.0	4999.0	3343.0	4124.0	5959.0	2216.0	976.0	809.0	5232.0	1567.0	1609.0	6364.0	8101.0	678.0	574.0	2148.0	4153.0	6491.0	2297.0	2199.0	1857.0	967.0	1723.0	2048.0	1812.0	470.0	2330.0	2222.0	3608.0	766.0	4467.0	996.0	1607.0	845.0	1985.0	2557.0	506.0	1260.0	2604.0	3237.0	1450.0	3785.0	2109.0	1307.0	1090.0	1819.0	1625.0	8864.0	428.0
sub-16	2083.0	2743.0	2652.0	3833.0	3599.0	6230.0	3146.0	3035.0	1425.0	879.0	2850.0	3370.0	1286.0	3112.0	11630.0	18354.0	2343.0	2700.0	4225.0	2658.0	4636.0	5524.0	4243.0	7207.0	7586.0	6518.0	5087.0	2605.0	6693.0	7266.0	2414.0	1599.0	1167.0	5750.0	2104.0	2387.0	6801.0	8420.0	690.0	487.0	2209.0	5161.0	6228.0	2866.0	3112.0	1822.0	1342.0	2358.0	2302.0	1884.0	601.0	3961.0	4255.0	4308.0	680.0	4351.0	1008.0	1331.0	1090.0	2105.0	2700.0	640.0	1333.0	2091.0	3060.0	1527.0	2764.0	3658.0	1506.0	741.0	2722.0	1498.0	9669.0	591.0
sub-17	1702.0	3163.0	2829.0	2953.0	2971.0	6838.0	2748.0	3122.0	1482.0	809.0	2966.0	4226.0	1298.0	2648.0	10922.0	18350.0	1566.0	2072.0	5703.0	3001.0	5207.0	3901.0	2931.0	7826.0	7433.0	5888.0	4360.0	3566.0	5431.0	4114.0	2034.0	587.0	1015.0	5797.0	2222.0	1927.0	6266.0	8181.0	494.0	440.0	2067.0	5938.0	6063.0	2720.0	2700.0	1920.0	856.0	1666.0	2113.0	1594.0	865.0	3116.0	3571.0	4213.0	574.0	4275.0	1566.0	2069.0	992.0	1230.0	3396.0	609.0	1070.0	2345.0	3161.0	1211.0	3235.0	2970.0	1502.0	548.0	1881.0	1630.0	8882.0	478.0
sub-18	2022.0	3238.0	2333.0	2722.0	2576.0	6004.0	3223.0	2666.0	1307.0	620.0	2803.0	2735.0	1311.0	1944.0	7248.0	15525.0	1841.0	2484.0	4639.0	2413.0	5488.0	4029.0	3163.0	7153.0	5583.0	5047.0	3989.0	3290.0	6267.0	4642.0	2696.0	1082.0	668.0	4666.0	2014.0	1606.0	5786.0	7041.0	563.0	310.0	1833.0	6495.0	6103.0	2366.0	3085.0	1662.0	880.0	1599.0	2125.0	1382.0	729.0	2831.0	4010.0	4391.0	337.0	3462.0	1524.0	1267.0	1235.0	1509.0	2823.0	670.0	1323.0	2388.0	2530.0	2081.0	2517.0	1998.0	2042.0	649.0	1430.0	1994.0	8309.0	418.0
sub-19	1794.0	2305.0	2530.0	2579.0	2948.0	6027.0	2640.0	2609.0	1403.0	586.0	3055.0	3759.0	1097.0	2082.0	8761.0	16300.0	1753.0	2193.0	4546.0	2903.0	4080.0	4649.0	2798.0	6983.0	7003.0	4524.0	4167.0	3851.0	5902.0	5471.0	2193.0	1082.0	899.0	4943.0	1541.0	1242.0	5598.0	8255.0	349.0	429.0	1676.0	4471.0	5785.0	2786.0	3043.0	1964.0	1163.0	1661.0	1680.0	1247.0	649.0	2725.0	3239.0	3748.0	453.0	3786.0	1384.0	1735.0	1156.0	1161.0	2400.0	387.0	1197.0	2516.0	2583.0	1130.0	3466.0	2710.0	1901.0	686.0	2341.0	1942.0	8518.0	455.0
sub-20	1739.0	3390.0	2553.0	2820.0	2818.0	5877.0	2916.0	2753.0	1409.0	792.0	2896.0	2763.0	1114.0	2663.0	7877.0	15332.0	1682.0	2303.0	4692.0	2358.0	4621.0	5619.0	3833.0	7029.0	4793.0	4655.0	3310.0	3415.0	5986.0	4788.0	1966.0	798.0	644.0	4478.0	2345.0	1387.0	7087.0	7103.0	554.0	448.0	1674.0	4556.0	7431.0	2799.0	3609.0	1619.0	951.0	1577.0	2115.0	1357.0	836.0	2797.0	5331.0	4278.0	339.0	3542.0	1250.0	1280.0	1673.0	1609.0	2630.0	609.0	1236.0	2437.0	2842.0	1426.0	2650.0	2511.0	1971.0	490.0	1986.0	2026.0	6593.0	396.0
sub-21	1514.0	2169.0	2439.0	2639.0	2728.0	5854.0	3375.0	2901.0	1499.0	759.0	3740.0	3424.0	858.0	2552.0	9345.0	17730.0	1363.0	2234.0	5262.0	2885.0	4489.0	5072.0	3356.0	6386.0	6523.0	6085.0	4230.0	3681.0	6181.0	5548.0	1799.0	907.0	1195.0	6641.0	1933.0	1799.0	6429.0	7287.0	509.0	454.0	2046.0	5612.0	5807.0	2797.0	3421.0	1898.0	839.0	1840.0	2274.0	1648.0	653.0	3117.0	4350.0	4847.0	787.0	4418.0	1821.0	1780.0	816.0	1529.0	3129.0	628.0	1345.0	2713.0	3476.0	1309.0	3854.0	2240.0	2282.0	683.0	2111.0	1961.0	12083.0	399.0
sub-22	2342.0	2970.0	2205.0	3348.0	3326.0	5990.0	2244.0	2345.0	1333.0	686.0	3597.0	2944.0	966.0	1752.0	7700.0	16628.0	1260.0	2290.0	5159.0	2605.0	3321.0	4061.0	4194.0	7799.0	4071.0	6410.0	4074.0	3045.0	6510.0	5322.0	1901.0	885.0	1117.0	5805.0	2051.0	1601.0	7802.0	7548.0	435.0	165.0	1891.0	5007.0	7300.0	2962.0	2767.0	1666.0	863.0	1971.0	1934.0	1874.0	567.0	2258.0	3705.0	3728.0	771.0	4650.0	1672.0	2085.0	934.0	1643.0	2331.0	663.0	1481.0	2762.0	2844.0	1136.0	3294.0	1964.0	1847.0	581.0	1721.0	1777.0	8385.0	407.0
sub-23	2387.0	2797.0	2775.0	3335.0	2887.0	7016.0	3750.0	2923.0	1096.0	803.0	4070.0	4152.0	1366.0	3649.0	9890.0	19739.0	1572.0	2566.0	4793.0	2737.0	5091.0	6072.0	4157.0	8544.0	6591.0	5269.0	4179.0	4802.0	8823.0	4440.0	2085.0	805.0	1004.0	6582.0	2149.0	1974.0	7145.0	8228.0	659.0	342.0	2092.0	5000.0	6443.0	2768.0	3900.0	1801.0	879.0	1836.0	2136.0	1781.0	815.0	4085.0	5063.0	4432.0	213.0	3350.0	1167.0	1224.0	603.0	1375.0	3538.0	1040.0	1118.0	2902.0	3529.0	1835.0	3128.0	2620.0	2755.0	1127.0	1320.0	1535.0	9754.0	451.0
sub-24	1661.0	2493.0	2134.0	3377.0	2659.0	6221.0	3175.0	2866.0	1662.0	706.0	3546.0	2868.0	983.0	2118.0	12668.0	14184.0	1678.0	2099.0	6937.0	3492.0	4544.0	5505.0	3152.0	7828.0	6363.0	6054.0	4529.0	3694.0	6733.0	5872.0	2252.0	1330.0	799.0	5411.0	1828.0	1680.0	6054.0	9751.0	449.0	365.0	1901.0	5239.0	4770.0	2831.0	3703.0	1436.0	941.0	1871.0	2063.0	1434.0	721.0	3169.0	4028.0	3717.0	393.0	4105.0	1837.0	2647.0	1429.0	1463.0	3711.0	921.0	1202.0	2830.0	3886.0	1307.0	4496.0	3488.0	1964.0	494.0	2213.0	1872.0	9999.0	459.0
sub-25	1875.0	1932.0	2242.0	3053.0	2529.0	5509.0	2922.0	3102.0	1294.0	454.0	2548.0	3698.0	1291.0	2665.0	7652.0	13970.0	1447.0	2079.0	3540.0	2245.0	3711.0	3196.0	3229.0	6875.0	6605.0	5552.0	3943.0	2824.0	5392.0	4607.0	2117.0	827.0	987.0	5269.0	1540.0	1900.0	6162.0	6766.0	434.0	305.0	1998.0	4352.0	4750.0	1890.0	2669.0	1959.0	1315.0	1593.0	1906.0	1502.0	619.0	3020.0	3653.0	4204.0	666.0	4107.0	821.0	1186.0	836.0	1167.0	2669.0	649.0	927.0	1690.0	3164.0	955.0	2716.0	2149.0	1793.0	529.0	1541.0	1380.0	7804.0	538.0
sub-26	1481.0	2626.0	3089.0	2297.0	2699.0	5337.0	2516.0	2934.0	1132.0	687.0	2823.0	3238.0	783.0	2010.0	7816.0	18039.0	1328.0	1885.0	5672.0	2177.0	3082.0	4587.0	3230.0	7423.0	8240.0	5505.0	4324.0	3610.0	6328.0	5055.0	1769.0	925.0	665.0	5754.0	2006.0	1489.0	6683.0	8202.0	594.0	353.0	1562.0	4239.0	5389.0	2143.0	3120.0	2059.0	872.0	1590.0	1596.0	1437.0	529.0	2411.0	3981.0	3686.0	420.0	3643.0	1169.0	1513.0	1181.0	1013.0	2252.0	392.0	1220.0	2692.0	3207.0	1412.0	2547.0	2339.0	2509.0	144.0	1884.0	1909.0	9153.0	430.0
sub-27	2294.0	2523.0	3061.0	3242.0	2999.0	6576.0	3681.0	3455.0	1725.0	928.0	2685.0	3483.0	1528.0	1879.0	9064.0	17557.0	1875.0	2504.0	4806.0	2485.0	5284.0	5794.0	3332.0	7783.0	6324.0	6145.0	4377.0	3485.0	6821.0	5834.0	2475.0	971.0	814.0	5811.0	1950.0	2180.0	6363.0	8674.0	578.0	325.0	2087.0	4500.0	5717.0	2599.0	3310.0	1954.0	1341.0	2041.0	1976.0	1684.0	703.0	3406.0	4765.0	5983.0	436.0	3837.0	868.0	1781.0	1075.0	1715.0	2814.0	721.0	1356.0	2954.0	3784.0	1635.0	3292.0	2509.0	2313.0	567.0	1529.0	1918.0	8947.0	419.0
sub-28	2171.0	3149.0	1902.0	3361.0	2841.0	7413.0	2815.0	2846.0	1829.0	1053.0	3963.0	4887.0	836.0	2276.0	11851.0	16347.0	1609.0	2073.0	6041.0	2478.0	6468.0	6219.0	4228.0	7128.0	6268.0	6327.0	5178.0	3534.0	6467.0	6120.0	2205.0	835.0	796.0	5599.0	2183.0	2161.0	6590.0	8497.0	519.0	242.0	2194.0	5387.0	5154.0	3155.0	3520.0	1676.0	1010.0	1997.0	2076.0	1819.0	734.0	3562.0	3972.0	3488.0	1047.0	5673.0	1271.0	1780.0	1561.0	1551.0	3202.0	640.0	1157.0	2479.0	2941.0	1540.0	3081.0	2710.0	1547.0	374.0	2701.0	2227.0	10059.0	576.0
sub-29	1844.0	2129.0	2811.0	2304.0	2795.0	6648.0	3137.0	2622.0	1819.0	768.0	2850.0	3751.0	1306.0	2349.0	10433.0	18118.0	1624.0	2311.0	5106.0	2866.0	5402.0	4379.0	4298.0	7817.0	7372.0	4895.0	5011.0	2859.0	5677.0	6275.0	1822.0	916.0	735.0	5189.0	1532.0	1472.0	5091.0	7938.0	489.0	397.0	1721.0	4775.0	6247.0	2001.0	3349.0	1821.0	1389.0	1902.0	2182.0	1655.0	366.0	3235.0	3340.0	4689.0	472.0	5193.0	830.0	1975.0	891.0	1564.0	3420.0	674.0	1034.0	2921.0	2988.0	1747.0	2863.0	2720.0	2025.0	295.0	2098.0	1298.0	11061.0	392.0
sub-30	1364.0	2226.0	1731.0	2234.0	1928.0	4272.0	1565.0	1759.0	890.0	773.0	3108.0	2495.0	886.0	1722.0	7834.0	11940.0	1133.0	1863.0	5042.0	2303.0	3726.0	4926.0	3180.0	5798.0	3372.0	3834.0	2959.0	3042.0	4744.0	3305.0	1632.0	804.0	741.0	4445.0	2143.0	1067.0	4398.0	6743.0	333.0	236.0	1894.0	5067.0	5381.0	2185.0	3089.0	1466.0	738.0	1743.0	1285.0	1386.0	371.0	2282.0	2412.0	3242.0	348.0	2526.0	1468.0	1416.0	1399.0	1501.0	2302.0	527.0	904.0	2277.0	2354.0	975.0	2278.0	1905.0	1371.0	493.0	1541.0	1615.0	7412.0	352.0
sub-31	1967.0	2135.0	2892.0	3316.0	2885.0	6099.0	2594.0	2491.0	1387.0	667.0	2547.0	3128.0	1252.0	2361.0	11242.0	16969.0	1469.0	2293.0	4611.0	3415.0	4162.0	3928.0	4203.0	7230.0	7590.0	6042.0	4192.0	4395.0	7805.0	5839.0	2291.0	782.0	1012.0	6024.0	1902.0	1765.0	6701.0	7231.0	421.0	324.0	1849.0	3838.0	5994.0	2463.0	3433.0	1482.0	976.0	1793.0	1938.0	1942.0	553.0	2482.0	2973.0	3646.0	389.0	4191.0	1138.0	1665.0	948.0	1683.0	2933.0	557.0	1318.0	2164.0	2672.0	1090.0	3387.0	2325.0	2133.0	612.0	2332.0	1299.0	9224.0	565.0
