lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume
sub-12	2260.0	1441.0	4850.0	2421.0	1779.0	10278.0	11261.0	10308.0	2186.0	9916.0	7688.0	5114.0	5537.0	10497.0	1760.0	2933.0	4690.0	2494.0	3021.0	1623.0	8236.0	2878.0	11616.0	8053.0	1669.0	11582.0	19349.0	11059.0	10894.0	10724.0	798.0	2779.0	1111.0	6354.0
sub-13	1824.0	1799.0	4693.0	3155.0	1546.0	8948.0	10734.0	9796.0	2134.0	12494.0	7368.0	7233.0	5137.0	9501.0	1919.0	3829.0	4140.0	2467.0	3616.0	2347.0	8877.0	3646.0	11915.0	9239.0	2706.0	17121.0	25142.0	12960.0	11635.0	12881.0	786.0	2497.0	1085.0	7002.0
sub-14	3421.0	1947.0	7113.0	3500.0	2125.0	9443.0	12794.0	10663.0	3086.0	13818.0	9019.0	7409.0	6154.0	12820.0	2054.0	4058.0	5814.0	2672.0	3741.0	2634.0	9754.0	4192.0	16149.0	12153.0	2997.0	16501.0	25911.0	14064.0	15843.0	14858.0	982.0	2768.0	1767.0	8189.0
sub-15	2635.0	1488.0	5515.0	2132.0	1810.0	9525.0	12999.0	10533.0	2205.0	10668.0	8028.0	6044.0	5393.0	9838.0	2243.0	3284.0	4858.0	2690.0	3093.0	1440.0	8953.0	2959.0	11202.0	10226.0	2772.0	14084.0	22835.0	12904.0	12753.0	13292.0	961.0	2612.0	1305.0	7486.0
sub-16	2652.0	2817.0	5723.0	2666.0	2142.0	10869.0	9848.0	10997.0	3548.0	11998.0	8234.0	7267.0	7046.0	13135.0	2383.0	3870.0	4396.0	2862.0	3471.0	1812.0	11056.0	3469.0	14503.0	11027.0	2779.0	17548.0	26347.0	12458.0	12496.0	12933.0	1272.0	3116.0	1036.0	8379.0
sub-17	2809.0	1630.0	4896.0	3179.0	1920.0	9836.0	9688.0	9938.0	2815.0	12325.0	8159.0	8258.0	5817.0	10843.0	2234.0	3373.0	5592.0	3408.0	4644.0	2154.0	10748.0	3112.0	12861.0	8736.0	2123.0	18808.0	25346.0	11614.0	14045.0	13632.0	1254.0	2292.0	1502.0	7015.0
sub-18	2000.0	1191.0	5378.0	2724.0	1734.0	8539.0	8805.0	8527.0	2504.0	12450.0	7601.0	5849.0	5436.0	11166.0	1796.0	3401.0	4463.0	2361.0	3761.0	1964.0	8764.0	3043.0	12010.0	8152.0	2566.0	13533.0	21960.0	10447.0	12231.0	11905.0	1054.0	2678.0	1321.0	7717.0
sub-19	2471.0	1223.0	7087.0	2875.0	1726.0	8873.0	12014.0	9037.0	2169.0	10334.0	8088.0	5898.0	5916.0	11056.0	1702.0	2969.0	5348.0	2844.0	4463.0	1654.0	8085.0	2823.0	12479.0	10100.0	2454.0	12896.0	21904.0	12792.0	10439.0	10617.0	923.0	2278.0	1067.0	6650.0
sub-20	1598.0	1989.0	5643.0	2544.0	2245.0	8424.0	9784.0	10378.0	2562.0	12486.0	7507.0	6596.0	5801.0	10729.0	1876.0	3033.0	5267.0	2565.0	3038.0	1745.0	8613.0	3066.0	12343.0	9186.0	2008.0	14378.0	22801.0	12035.0	11072.0	9563.0	822.0	3204.0	884.0	7019.0
sub-21	2977.0	3030.0	5998.0	3288.0	1556.0	9823.0	13396.0	11863.0	3358.0	11760.0	7450.0	7261.0	5005.0	10853.0	2402.0	3416.0	5536.0	2067.0	4098.0	2205.0	8198.0	3759.0	12181.0	10136.0	3699.0	16068.0	21745.0	13027.0	14505.0	12460.0	991.0	2714.0	1319.0	6979.0
sub-22	2184.0	1825.0	5379.0	3022.0	2539.0	8926.0	12287.0	10708.0	2242.0	13507.0	8132.0	5725.0	5509.0	9949.0	2106.0	3177.0	4472.0	2284.0	2945.0	1766.0	8882.0	2848.0	11456.0	8996.0	2174.0	14406.0	22367.0	12640.0	12105.0	10711.0	762.0	2612.0	1212.0	6744.0
sub-23	2129.0	2113.0	7947.0	3926.0	1594.0	9264.0	10073.0	10934.0	2520.0	14829.0	8683.0	9062.0	6681.0	11363.0	2536.0	3754.0	4470.0	2197.0	4356.0	2424.0	9065.0	3103.0	16482.0	7933.0	2670.0	21697.0	26798.0	10327.0	13467.0	13475.0	1160.0	3129.0	1607.0	6983.0
sub-24	2973.0	1589.0	6422.0	3394.0	1437.0	9323.0	14862.0	9385.0	2384.0	12546.0	8409.0	6593.0	5093.0	11148.0	2229.0	3644.0	5933.0	2521.0	4072.0	2046.0	9588.0	3413.0	15441.0	10488.0	2496.0	15802.0	23468.0	14481.0	13640.0	13408.0	1029.0	2424.0	1775.0	7872.0
sub-25	1969.0	2059.0	5739.0	2130.0	1344.0	8722.0	11020.0	9707.0	2111.0	8873.0	7059.0	4128.0	4971.0	8838.0	2220.0	3277.0	4123.0	2058.0	3918.0	1238.0	8534.0	3127.0	11881.0	9970.0	2508.0	13070.0	21125.0	12206.0	10735.0	9362.0	801.0	1438.0	1504.0	6309.0
sub-26	1920.0	2132.0	5596.0	2602.0	1859.0	8917.0	14017.0	9434.0	2040.0	12497.0	7887.0	5820.0	5402.0	11739.0	2269.0	3892.0	4218.0	2301.0	3724.0	1562.0	8269.0	3430.0	12431.0	9235.0	1825.0	13294.0	22504.0	11992.0	10930.0	9811.0	821.0	2498.0	964.0	6843.0
sub-27	2461.0	1620.0	6891.0	2852.0	2034.0	10623.0	12493.0	10423.0	2488.0	11859.0	8728.0	8831.0	5861.0	10382.0	1985.0	5129.0	4996.0	2550.0	4019.0	1938.0	10894.0	3567.0	13945.0	10605.0	3338.0	18148.0	26455.0	13081.0	12225.0	10260.0	990.0	2051.0	1614.0	7790.0
sub-28	2244.0	2829.0	6510.0	4038.0	1478.0	10541.0	11473.0	12379.0	2949.0	14686.0	7803.0	8691.0	5969.0	11815.0	2785.0	3396.0	4628.0	2314.0	3421.0	2268.0	10056.0	3639.0	14908.0	9879.0	2734.0	17632.0	23356.0	13500.0	13037.0	11014.0	1017.0	1891.0	1174.0	6089.0
sub-29	2126.0	1946.0	7191.0	2821.0	1911.0	9727.0	12909.0	10558.0	2924.0	13231.0	9014.0	6808.0	5918.0	11236.0	1872.0	3665.0	3696.0	2697.0	3551.0	1706.0	8756.0	3395.0	14246.0	9690.0	3374.0	16452.0	23521.0	13169.0	10705.0	9030.0	1144.0	2727.0	1220.0	7784.0
sub-30	1623.0	1615.0	3998.0	2738.0	1969.0	8427.0	8489.0	8089.0	1882.0	10772.0	6619.0	6276.0	4816.0	8157.0	1816.0	2621.0	3745.0	1755.0	3108.0	1878.0	7536.0	2082.0	10786.0	5915.0	2175.0	10074.0	16643.0	8522.0	11451.0	7488.0	678.0	2120.0	1334.0	5993.0
sub-31	2402.0	2145.0	7684.0	2907.0	1890.0	9781.0	10999.0	9593.0	2134.0	11651.0	7490.0	4876.0	5599.0	10644.0	2500.0	3689.0	4820.0	3118.0	3100.0	1795.0	9120.0	3256.0	14049.0	8631.0	2172.0	15660.0	23581.0	13548.0	13175.0	10921.0	1025.0	2990.0	1592.0	6684.0
