rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area
sub-12	555.0	807.0	775.0	1064.0	712.0	1721.0	803.0	889.0	327.0	170.0	1146.0	893.0	341.0	468.0	2370.0	4095.0	306.0	364.0	1379.0	780.0	1417.0	1405.0	763.0	1687.0	1734.0	1817.0	1351.0	1170.0	1616.0	1479.0	473.0	243.0	259.0	1133.0	404.0	527.0	1762.0	1896.0	253.0	238.0	914.0	1887.0	1091.0	1254.0	1944.0	771.0	409.0	686.0	852.0	486.0	268.0	980.0	1140.0	1560.0	153.0	2094.0	554.0	760.0	419.0	884.0	1298.0	280.0	524.0	779.0	1361.0	906.0	1460.0	1008.0	822.0	143.0	705.0	753.0	3873.0	197.0	74804.7
sub-13	547.0	767.0	943.0	1229.0	842.0	2307.0	1030.0	1149.0	387.0	173.0	1589.0	961.0	304.0	730.0	2978.0	5527.0	387.0	445.0	1434.0	1147.0	991.0	2100.0	850.0	1690.0	2138.0	1890.0	1675.0	1249.0	1470.0	1479.0	570.0	289.0	263.0	1117.0	384.0	508.0	1585.0	2264.0	260.0	60.0	921.0	2509.0	1040.0	1914.0	1824.0	944.0	355.0	760.0	884.0	691.0	410.0	1151.0	1575.0	1866.0	313.0	2049.0	513.0	951.0	367.0	480.0	1178.0	408.0	409.0	786.0	1361.0	1028.0	1448.0	946.0	909.0	267.0	670.0	922.0	4235.0	258.0	84048.8
sub-14	755.0	881.0	1010.0	1447.0	1096.0	2516.0	1125.0	1372.0	340.0	185.0	1914.0	1114.0	373.0	803.0	3195.0	5964.0	454.0	527.0	1592.0	1074.0	1384.0	2184.0	959.0	2117.0	2240.0	2067.0	2044.0	1508.0	1938.0	2454.0	635.0	407.0	414.0	1593.0	599.0	674.0	1661.0	2308.0	306.0	240.0	1121.0	2361.0	1363.0	1859.0	2409.0	1148.0	471.0	943.0	1009.0	870.0	356.0	1704.0	2057.0	2100.0	340.0	2945.0	448.0	996.0	689.0	587.0	1421.0	428.0	547.0	1157.0	1775.0	1125.0	1834.0	1500.0	1091.0	254.0	1075.0	1047.0	4939.0	357.0	99787.5
sub-15	578.0	853.0	867.0	1122.0	709.0	1948.0	833.0	810.0	350.0	170.0	1398.0	1019.0	291.0	965.0	2547.0	4191.0	326.0	346.0	1535.0	1040.0	1326.0	1830.0	880.0	1707.0	2641.0	1757.0	1736.0	1374.0	1266.0	1977.0	573.0	409.0	249.0	1211.0	431.0	556.0	1585.0	1985.0	314.0	266.0	911.0	2098.0	1194.0	1278.0	1517.0	825.0	361.0	685.0	838.0	803.0	258.0	1149.0	947.0	1533.0	416.0	2426.0	590.0	844.0	437.0	886.0	1073.0	214.0	632.0	906.0	1594.0	1042.0	2082.0	916.0	680.0	307.0	845.0	817.0	3880.0	218.0	81170.1
sub-16	737.0	876.0	907.0	1424.0	993.0	2048.0	1012.0	1043.0	358.0	257.0	1651.0	970.0	297.0	955.0	3503.0	4985.0	600.0	593.0	1423.0	1121.0	1326.0	2260.0	891.0	2059.0	2352.0	1970.0	2266.0	1333.0	1984.0	2475.0	695.0	500.0	442.0	1537.0	550.0	753.0	1894.0	2200.0	345.0	260.0	1000.0	2317.0	1212.0	1750.0	2070.0	947.0	552.0	937.0	1029.0	816.0	383.0	1763.0	2049.0	1810.0	406.0	2468.0	634.0	661.0	454.0	1004.0	1302.0	298.0	653.0	876.0	1696.0	992.0	1738.0	1855.0	743.0	285.0	1126.0	863.0	4413.0	245.0	95190.0
sub-17	652.0	1247.0	1109.0	969.0	819.0	2094.0	913.0	1120.0	350.0	208.0	1722.0	1205.0	380.0	783.0	3059.0	4877.0	369.0	414.0	1901.0	1341.0	1486.0	1815.0	643.0	1908.0	2345.0	1681.0	1652.0	1351.0	1649.0	1327.0	561.0	307.0	270.0	1410.0	612.0	674.0	1546.0	1954.0	282.0	221.0	992.0	2841.0	1202.0	1515.0	1826.0	961.0	361.0	709.0	903.0	665.0	419.0	1505.0	1557.0	1926.0	306.0	2338.0	886.0	1115.0	488.0	586.0	1419.0	328.0	494.0	860.0	1498.0	851.0	1687.0	1288.0	735.0	223.0	800.0	721.0	3924.0	247.0	87405.7
sub-18	733.0	1185.0	940.0	915.0	987.0	2305.0	1187.0	1073.0	313.0	191.0	1616.0	833.0	365.0	681.0	2397.0	4894.0	461.0	594.0	1640.0	1072.0	1544.0	1732.0	677.0	1976.0	1873.0	1579.0	1635.0	1426.0	1834.0	1521.0	778.0	438.0	212.0	1147.0	659.0	590.0	1691.0	1824.0	316.0	172.0	919.0	2879.0	1423.0	1438.0	1989.0	911.0	388.0	751.0	980.0	658.0	398.0	1252.0	1681.0	1959.0	216.0	1903.0	903.0	769.0	640.0	727.0	1372.0	394.0	621.0	924.0	1348.0	1048.0	1546.0	1002.0	1045.0	247.0	630.0	995.0	3855.0	186.0	86003.8
sub-19	710.0	1021.0	959.0	909.0	914.0	2077.0	935.0	990.0	369.0	199.0	1590.0	1095.0	313.0	619.0	2531.0	4912.0	440.0	476.0	1639.0	1292.0	1254.0	2115.0	612.0	1873.0	2002.0	1448.0	1512.0	1364.0	1755.0	1948.0	664.0	482.0	273.0	1170.0	364.0	473.0	1563.0	2079.0	200.0	222.0	856.0	2701.0	1400.0	1617.0	1947.0	835.0	512.0	761.0	824.0	557.0	407.0	1355.0	1398.0	1710.0	185.0	1828.0	848.0	982.0	581.0	607.0	1185.0	222.0	640.0	989.0	1316.0	855.0	1739.0	1247.0	976.0	242.0	1042.0	995.0	3910.0	239.0	84869.9
sub-20	658.0	1070.0	1016.0	978.0	929.0	1971.0	1029.0	1026.0	349.0	235.0	1420.0	856.0	329.0	856.0	2463.0	4433.0	358.0	429.0	1531.0	863.0	1197.0	2308.0	748.0	1832.0	1522.0	1426.0	1153.0	1345.0	1659.0	1342.0	544.0	292.0	249.0	1012.0	497.0	522.0	1752.0	1762.0	312.0	209.0	854.0	2175.0	1519.0	1713.0	2106.0	841.0	370.0	711.0	944.0	609.0	453.0	1274.0	2143.0	1930.0	215.0	1942.0	805.0	685.0	782.0	655.0	1111.0	263.0	534.0	916.0	1403.0	955.0	1515.0	1204.0	969.0	163.0	834.0	963.0	3088.0	229.0	81357.3
sub-21	736.0	732.0	916.0	798.0	1006.0	2015.0	970.0	1017.0	330.0	211.0	1817.0	853.0	223.0	722.0	2620.0	4872.0	375.0	639.0	1804.0	1081.0	1192.0	2142.0	818.0	1854.0	1995.0	1800.0	1581.0	1562.0	1548.0	1710.0	575.0	377.0	294.0	1409.0	519.0	625.0	1654.0	1771.0	225.0	175.0	928.0	2794.0	1118.0	1655.0	1950.0	889.0	314.0	873.0	905.0	677.0	338.0	1444.0	1961.0	2002.0	274.0	2228.0	941.0	958.0	397.0	779.0	1375.0	344.0	648.0	991.0	1667.0	990.0	2068.0	977.0	1060.0	299.0	949.0	923.0	4994.0	193.0	88466.4
sub-22	845.0	1095.0	945.0	1148.0	1116.0	2085.0	800.0	834.0	312.0	207.0	1725.0	839.0	288.0	518.0	2317.0	4915.0	344.0	571.0	1724.0	1190.0	1073.0	1853.0	810.0	2117.0	1512.0	1887.0	1763.0	1327.0	1957.0	1610.0	606.0	369.0	338.0	1429.0	594.0	616.0	2057.0	1863.0	245.0	78.0	934.0	2563.0	1465.0	1688.0	1775.0	791.0	348.0	778.0	901.0	790.0	292.0	1013.0	1569.0	1780.0	425.0	2441.0	971.0	1093.0	512.0	572.0	1096.0	387.0	700.0	1028.0	1436.0	872.0	1812.0	884.0	1011.0	298.0	831.0	859.0	3494.0	201.0	85531.6
sub-23	843.0	953.0	968.0	997.0	977.0	2546.0	1213.0	1077.0	278.0	213.0	2052.0	1168.0	327.0	1099.0	2813.0	5461.0	386.0	529.0	1529.0	1095.0	1413.0	2665.0	805.0	2111.0	1708.0	1506.0	1355.0	1681.0	2551.0	1351.0	639.0	314.0	289.0	1427.0	566.0	659.0	1816.0	1840.0	283.0	179.0	1005.0	2452.0	1240.0	1704.0	2188.0	879.0	358.0	757.0	875.0	738.0	433.0	1899.0	2182.0	1857.0	83.0	1689.0	606.0	637.0	252.0	753.0	1432.0	446.0	510.0	1110.0	1715.0	1016.0	1611.0	1175.0	1272.0	394.0	589.0	725.0	4229.0	218.0	90710.5
sub-24	616.0	861.0	878.0	1147.0	800.0	2256.0	1241.0	1085.0	450.0	237.0	1893.0	791.0	274.0	656.0	3416.0	3721.0	446.0	401.0	2146.0	1335.0	1300.0	2310.0	740.0	2322.0	1761.0	1655.0	1615.0	1515.0	1715.0	1741.0	609.0	427.0	274.0	1456.0	558.0	623.0	1465.0	2307.0	225.0	221.0	932.0	2610.0	1097.0	1544.0	2202.0	699.0	386.0	842.0	932.0	515.0	448.0	1496.0	1832.0	1556.0	198.0	2077.0	1066.0	1328.0	738.0	790.0	1732.0	447.0	520.0	1193.0	1948.0	909.0	2201.0	1504.0	913.0	187.0	930.0	870.0	4519.0	253.0	90902.9
sub-25	776.0	686.0	845.0	1074.0	896.0	2007.0	1058.0	1068.0	359.0	164.0	1295.0	1089.0	361.0	854.0	2536.0	4355.0	423.0	431.0	1321.0	920.0	1053.0	1363.0	713.0	2068.0	2080.0	1656.0	1521.0	1201.0	1453.0	1519.0	621.0	393.0	302.0	1347.0	528.0	695.0	1689.0	1815.0	221.0	177.0	964.0	2069.0	1128.0	1154.0	1629.0	1006.0	486.0	742.0	845.0	684.0	342.0	1429.0	1779.0	1903.0	376.0	2338.0	510.0	621.0	366.0	597.0	1358.0	365.0	437.0	852.0	1544.0	786.0	1478.0	959.0	804.0	237.0	722.0	746.0	3502.0	254.0	79943.5
sub-26	559.0	829.0	959.0	791.0	785.0	1761.0	777.0	1002.0	278.0	157.0	1536.0	845.0	219.0	517.0	2331.0	4808.0	302.0	390.0	1665.0	977.0	792.0	2020.0	650.0	1753.0	2373.0	1529.0	1496.0	1291.0	1662.0	1537.0	528.0	315.0	172.0	1244.0	523.0	454.0	1668.0	1881.0	239.0	162.0	722.0	2127.0	1079.0	1337.0	1812.0	952.0	320.0	656.0	701.0	587.0	333.0	1029.0	1571.0	1758.0	205.0	1730.0	686.0	786.0	561.0	468.0	984.0	198.0	606.0	955.0	1540.0	815.0	1357.0	1024.0	1024.0	34.0	693.0	871.0	3809.0	149.0	77255.8
sub-27	874.0	927.0	1168.0	1115.0	1097.0	2238.0	1276.0	1213.0	379.0	222.0	1556.0	977.0	377.0	613.0	2933.0	5255.0	500.0	468.0	1565.0	1069.0	1478.0	2541.0	829.0	2387.0	2010.0	1969.0	1543.0	1377.0	1980.0	1807.0	625.0	357.0	292.0	1484.0	575.0	696.0	1651.0	2090.0	279.0	164.0	1026.0	2100.0	1320.0	1648.0	2069.0	932.0	543.0	952.0	899.0	710.0	436.0	1563.0	2142.0	2691.0	232.0	2066.0	544.0	989.0	473.0	795.0	1307.0	399.0	679.0	1203.0	1923.0	1238.0	1801.0	1224.0	1256.0	248.0	694.0	956.0	3989.0	264.0	93269.8
sub-28	672.0	1245.0	724.0	1039.0	911.0	2628.0	1054.0	932.0	394.0	228.0	1771.0	1285.0	194.0	677.0	3522.0	4643.0	420.0	407.0	1964.0	957.0	1774.0	2472.0	868.0	1795.0	1848.0	1888.0	1739.0	1342.0	1716.0	1704.0	567.0	330.0	221.0	1344.0	601.0	717.0	1952.0	2255.0	213.0	128.0	984.0	2705.0	1355.0	1697.0	2099.0	755.0	348.0	837.0	867.0	770.0	395.0	1548.0	1997.0	1495.0	570.0	2773.0	723.0	916.0	753.0	853.0	1469.0	317.0	439.0	986.0	1330.0	1178.0	1755.0	1222.0	777.0	136.0	1144.0	1167.0	4297.0	255.0	92053.4
sub-29	704.0	908.0	1009.0	788.0	917.0	2415.0	1041.0	1000.0	405.0	217.0	1498.0	1085.0	420.0	705.0	3130.0	5359.0	484.0	571.0	1831.0	1194.0	1750.0	2012.0	964.0	2083.0	2215.0	1502.0	1993.0	1291.0	1592.0	2099.0	536.0	363.0	214.0	1323.0	390.0	541.0	1409.0	1911.0	261.0	172.0	803.0	2230.0	1214.0	1340.0	2045.0	863.0	564.0	815.0	957.0	684.0	223.0	1625.0	1720.0	2129.0	214.0	2710.0	487.0	1193.0	469.0	820.0	1549.0	389.0	511.0	1039.0	1665.0	1200.0	1678.0	1268.0	952.0	114.0	888.0	672.0	4919.0	178.0	90429.7
sub-30	607.0	962.0	782.0	909.0	797.0	1784.0	647.0	788.0	335.0	277.0	1718.0	897.0	316.0	710.0	2804.0	4209.0	359.0	542.0	2023.0	1172.0	1187.0	2027.0	774.0	2014.0	1346.0	1473.0	1314.0	1449.0	1639.0	1299.0	524.0	362.0	272.0	1289.0	677.0	482.0	1529.0	2194.0	187.0	151.0	986.0	2688.0	1319.0	1497.0	2070.0	789.0	383.0	785.0	703.0	667.0	281.0	1302.0	1322.0	1718.0	185.0	1687.0	980.0	924.0	775.0	863.0	1191.0	317.0	488.0	927.0	1356.0	719.0	1563.0	1005.0	791.0	284.0	792.0	948.0	3874.0	248.0	81253.2
sub-31	660.0	807.0	989.0	1015.0	767.0	2005.0	869.0	844.0	339.0	188.0	1475.0	819.0	270.0	663.0	3004.0	4465.0	332.0	555.0	1505.0	1191.0	1215.0	1720.0	1052.0	1864.0	2084.0	1493.0	1494.0	1538.0	2072.0	1781.0	608.0	339.0	359.0	1430.0	479.0	593.0	1675.0	1858.0	209.0	166.0	881.0	2001.0	1151.0	1393.0	2153.0	715.0	388.0	722.0	853.0	825.0	346.0	1156.0	1372.0	1680.0	145.0	2031.0	637.0	845.0	499.0	836.0	1296.0	275.0	684.0	742.0	1359.0	708.0	1725.0	936.0	1071.0	238.0	1002.0	614.0	4043.0	257.0	82371.3
