lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area
sub-14	1090.0	748.0	2755.0	1862.0	515.0	3087.0	4988.0	3397.0	1244.0	5998.0	2980.0	3289.0	2282.0	3702.0	606.0	1555.0	2036.0	820.0	1377.0	1827.0	4673.0	1619.0	5827.0	4695.0	967.0	6386.0	8820.0	6048.0	5414.0	5432.0	295.0	507.0	687.0	2702.0	100229.0
sub-15	1050.0	548.0	1930.0	1381.0	454.0	2898.0	4774.0	3224.0	749.0	5130.0	2536.0	2861.0	1784.0	2880.0	639.0	1455.0	1609.0	740.0	1193.0	1055.0	3908.0	1041.0	3903.0	4012.0	772.0	4902.0	7398.0	5834.0	3837.0	4636.0	265.0	555.0	437.0	1993.0	82384.3
sub-16	1107.0	927.0	2215.0	1595.0	467.0	3423.0	3727.0	3670.0	1154.0	5528.0	2948.0	3122.0	2489.0	3868.0	683.0	1621.0	1544.0	771.0	1235.0	1362.0	5104.0	1178.0	5292.0	4695.0	834.0	6316.0	8679.0	5433.0	4103.0	4564.0	322.0	537.0	381.0	2679.0	93575.4
sub-17	1074.0	592.0	1773.0	1755.0	330.0	3148.0	3607.0	2735.0	1106.0	5454.0	2511.0	3811.0	1873.0	3144.0	618.0	1427.0	1903.0	894.0	1611.0	1457.0	4516.0	1175.0	4617.0	3382.0	693.0	6205.0	7774.0	5085.0	4657.0	4722.0	307.0	432.0	460.0	2175.0	87022.8
sub-18	918.0	493.0	2256.0	1506.0	386.0	2948.0	3743.0	3171.0	964.0	5616.0	2581.0	2766.0	2079.0	3456.0	533.0	1393.0	1642.0	768.0	1497.0	1287.0	4172.0	1163.0	4706.0	3411.0	936.0	5587.0	8030.0	4668.0	4384.0	4640.0	307.0	519.0	582.0	2432.0	85539.5
sub-19	1069.0	492.0	2497.0	1648.0	450.0	3208.0	4445.0	3259.0	1012.0	5388.0	2958.0	3116.0	2094.0	3221.0	556.0	1229.0	1901.0	840.0	1582.0	1279.0	3716.0	1149.0	4563.0	3989.0	799.0	5034.0	7410.0	5670.0	3528.0	3737.0	291.0	416.0	430.0	2247.0	85221.1
sub-20	767.0	663.0	2066.0	1447.0	449.0	2583.0	3626.0	3043.0	1034.0	5080.0	2492.0	2924.0	1971.0	3247.0	581.0	1310.0	1924.0	805.0	1285.0	1313.0	4067.0	1128.0	4695.0	3357.0	654.0	5480.0	7696.0	4923.0	3421.0	3344.0	225.0	558.0	358.0	1966.0	80478.8
sub-21	1143.0	919.0	2050.0	1784.0	380.0	2933.0	4809.0	3506.0	1215.0	5109.0	2632.0	3350.0	1934.0	3245.0	654.0	1307.0	1675.0	662.0	1359.0	1509.0	3559.0	1334.0	4081.0	3727.0	1071.0	6101.0	6853.0	5465.0	4134.0	4282.0	278.0	523.0	459.0	2124.0	86165.4
sub-22	941.0	645.0	2066.0	1500.0	508.0	3017.0	4748.0	3279.0	947.0	5920.0	2804.0	2964.0	2013.0	3012.0	577.0	1184.0	1613.0	714.0	1252.0	1241.0	3997.0	1236.0	4294.0	3462.0	758.0	5573.0	7529.0	5803.0	3801.0	4119.0	278.0	513.0	448.0	2099.0	84854.1
sub-23	901.0	746.0	2911.0	1959.0	337.0	2897.0	3627.0	3402.0	968.0	5854.0	2741.0	3945.0	2178.0	3073.0	713.0	1451.0	1557.0	759.0	1548.0	1750.0	3907.0	1099.0	5658.0	3048.0	812.0	7854.0	8316.0	4335.0	4068.0	4585.0	336.0	546.0	559.0	2124.0	90565.1
sub-24	1098.0	556.0	2189.0	1891.0	349.0	3127.0	5116.0	3140.0	963.0	5647.0	2853.0	3144.0	1865.0	3131.0	694.0	1448.0	2072.0	762.0	1514.0	1361.0	4570.0	1219.0	5299.0	4120.0	828.0	5892.0	7490.0	5856.0	4533.0	4761.0	277.0	561.0	693.0	2534.0	91552.0
sub-25	886.0	720.0	2140.0	1083.0	297.0	2824.0	4273.0	3250.0	860.0	3845.0	2585.0	2128.0	1771.0	2917.0	649.0	1255.0	1385.0	720.0	1436.0	992.0	3661.0	1114.0	4349.0	3837.0	984.0	5345.0	7338.0	5318.0	3758.0	3483.0	236.0	364.0	549.0	2042.0	78394.6
sub-26	790.0	634.0	2070.0	1427.0	423.0	2635.0	4826.0	2984.0	801.0	5488.0	2533.0	2961.0	1810.0	3138.0	600.0	1389.0	1394.0	685.0	1229.0	1289.0	3488.0	1195.0	4259.0	3327.0	582.0	4987.0	7041.0	4817.0	3263.0	3304.0	247.0	482.0	335.0	2035.0	78466.5
sub-27	1137.0	622.0	2718.0	1609.0	508.0	3473.0	4500.0	3386.0	933.0	5644.0	2873.0	3678.0	2100.0	3162.0	664.0	1899.0	1643.0	858.0	1534.0	1317.0	4409.0	1228.0	5117.0	4060.0	1040.0	7057.0	9283.0	5594.0	4255.0	3673.0	312.0	535.0	652.0	2421.0	93897.3
sub-28	978.0	931.0	2533.0	1778.0	325.0	3297.0	4323.0	4118.0	1140.0	5978.0	2451.0	3596.0	2009.0	3838.0	669.0	1310.0	1497.0	704.0	1241.0	1585.0	4377.0	1333.0	5084.0	3550.0	918.0	6287.0	7754.0	5399.0	4210.0	3964.0	253.0	535.0	432.0	1903.0	90301.3
sub-29	1014.0	776.0	2814.0	1541.0	414.0	3006.0	4900.0	3510.0	1139.0	5589.0	3013.0	2945.0	2267.0	3529.0	671.0	1445.0	1461.0	757.0	1392.0	1355.0	3887.0	1186.0	5219.0	3951.0	1109.0	6362.0	7875.0	5733.0	3430.0	3352.0	330.0	495.0	440.0	2495.0	89403.8
sub-30	917.0	644.0	1918.0	1749.0	417.0	3279.0	3972.0	3068.0	919.0	5595.0	2517.0	3339.0	2084.0	3114.0	716.0	1204.0	1561.0	613.0	1273.0	1477.0	3818.0	1028.0	4757.0	2931.0	826.0	4517.0	6777.0	4647.0	4356.0	3234.0	238.0	523.0	585.0	2325.0	80939.7
sub-31	987.0	685.0	2611.0	1440.0	487.0	3363.0	4102.0	3009.0	833.0	5084.0	2432.0	2548.0	1734.0	3242.0	687.0	1420.0	1499.0	755.0	1118.0	1434.0	3826.0	1178.0	5029.0	3258.0	662.0	5592.0	7093.0	5277.0	3869.0	3808.0	267.0	464.0	570.0	2063.0	82423.8
