rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness
sub-12	2.6	2.348	2.759	1.86	3.597	2.738	2.415	2.72	2.224	2.18	2.713	1.995	2.844	2.769	2.622	2.323	2.573	2.713	2.507	1.746	2.071	2.291	2.561	2.389	3.007	2.397	2.814	2.094	2.805	2.553	2.7	3.892	2.382	3.257	2.50427
sub-13	2.47	2.412	2.552	1.821	3.094	2.638	2.446	2.574	2.499	2.117	2.783	2.11	2.592	2.675	2.821	2.644	2.723	2.592	2.376	1.559	2.091	2.607	2.615	2.586	2.774	2.312	2.799	2.244	2.722	2.584	2.54	3.612	2.922	3.184	2.48963
sub-14	2.194	2.49	2.514	1.856	3.135	2.618	2.41	2.629	2.211	2.166	2.666	2.07	2.53	2.753	2.711	2.391	2.476	2.451	2.351	1.727	1.961	2.511	2.5	2.4	2.635	2.305	2.689	2.111	2.762	2.44	2.73	3.93	2.321	3.344	2.43809
sub-15	2.702	2.525	2.56	1.623	3.222	2.814	2.439	2.792	2.408	2.113	2.829	2.069	2.893	2.835	3.06	2.478	2.881	2.731	2.632	1.515	2.072	2.519	2.403	2.442	2.816	2.498	2.811	2.035	2.895	2.641	3.153	3.819	2.661	3.577	2.52754
sub-16	2.516	2.377	2.447	1.73	3.102	2.642	2.457	2.662	2.656	2.169	2.595	2.095	2.717	2.663	2.812	2.339	2.489	2.729	2.583	1.451	1.822	2.862	2.461	2.295	3.014	2.473	2.934	1.977	2.759	2.526	2.977	3.566	2.372	3.392	2.47264
sub-17	2.405	2.782	2.567	1.728	3.216	2.76	2.509	2.908	2.388	2.175	2.853	2.028	2.658	2.836	2.684	2.385	2.66	2.774	2.42	1.727	2.018	2.543	2.403	2.437	3.047	2.476	2.92	2.017	2.823	2.567	2.525	3.972	2.573	3.194	2.50454
sub-18	2.358	2.729	2.403	1.716	3.492	2.593	2.33	2.583	2.403	2.133	2.821	2.063	2.539	2.802	2.34	2.17	2.428	2.657	2.333	1.635	1.903	2.587	2.395	2.379	2.725	2.425	2.558	1.945	2.662	2.393	2.66	3.278	2.591	3.121	2.39723
sub-19	2.547	2.604	2.537	1.799	3.205	2.538	2.417	2.533	2.17	1.899	2.669	2.01	2.595	2.74	2.603	2.34	2.469	2.571	2.413	1.625	2.097	2.454	2.42	2.395	2.693	2.456	2.722	2.152	2.747	2.536	2.652	3.745	2.453	3.071	2.41815
sub-20	2.37	2.616	2.462	1.992	3.498	2.838	2.339	2.89	2.481	2.155	2.892	2.209	2.964	2.828	2.905	2.219	2.579	2.579	2.455	1.618	1.982	2.404	2.563	2.389	2.961	2.408	2.663	2.105	2.817	2.356	2.907	3.931	2.1	3.291	2.491
sub-21	2.682	2.515	2.565	1.947	3.348	2.788	2.443	2.824	2.463	2.157	2.811	2.135	2.445	2.961	2.917	2.434	2.869	2.551	2.652	1.688	2.027	2.603	2.739	2.549	2.815	2.367	2.941	2.162	2.915	2.6	2.535	3.431	2.781	2.94	2.53684
sub-22	2.541	2.425	2.423	1.927	3.571	2.613	2.313	2.934	2.469	2.116	2.709	1.973	2.503	2.871	2.791	2.374	2.635	2.735	2.446	1.784	1.954	2.485	2.419	2.373	2.658	2.41	2.688	2.019	2.772	2.489	2.771	3.723	2.364	3.028	2.44321
sub-23	2.803	2.63	2.702	1.906	3.39	2.821	2.667	2.896	2.753	2.295	2.786	2.145	2.62	2.981	3.041	2.424	2.643	2.991	2.636	1.622	2.226	2.633	2.647	2.51	2.751	2.447	2.831	2.285	2.984	2.713	2.64	3.977	2.642	3.294	2.60619
sub-24	2.533	2.163	2.812	1.842	3.243	2.693	2.543	2.712	2.519	2.125	2.649	2.127	2.684	2.931	2.732	2.47	2.612	2.577	2.512	1.676	2.024	2.451	2.718	2.544	2.861	2.549	2.865	2.201	2.662	2.647	2.78	3.307	2.218	3.131	2.52311
sub-25	2.428	2.56	2.463	1.873	3.395	2.583	2.398	2.638	2.091	2.044	2.579	2.014	2.425	2.604	2.492	2.357	2.562	2.548	2.401	1.574	1.954	2.531	2.616	2.41	2.484	2.279	2.645	2.077	2.656	2.511	2.638	3.095	2.399	3.102	2.41332
sub-26	2.757	2.874	2.52	1.815	3.406	2.947	2.674	2.916	2.814	2.227	2.924	2.082	2.618	3.037	3.118	2.544	2.811	2.888	2.629	1.462	2.115	2.64	2.649	2.662	3.155	2.471	2.85	2.292	3.115	2.742	3.075	3.923	2.844	3.286	2.62952
sub-27	2.405	2.433	2.287	1.668	2.723	2.687	2.347	2.637	2.607	2.102	2.599	2.107	2.714	2.824	2.712	2.374	2.52	2.3	2.462	1.49	2.067	2.565	2.446	2.375	2.829	2.306	2.546	2.143	2.704	2.54	2.773	3.123	2.023	3.075	2.41947
sub-28	2.547	2.259	2.601	2.098	3.607	2.779	2.522	2.553	2.539	2.064	2.963	2.169	2.78	2.675	2.918	2.477	2.854	2.709	2.614	1.744	2.055	2.471	2.616	2.646	2.566	2.427	2.767	2.251	2.875	2.509	2.965	3.07	2.677	3.2	2.52803
sub-29	2.288	2.587	2.517	1.757	3.401	2.635	2.345	2.654	2.323	2.038	2.724	2.04	2.49	2.818	2.579	2.489	2.624	2.734	2.471	1.573	1.834	2.563	2.505	2.356	2.885	2.322	2.664	2.064	2.67	2.609	2.935	3.76	2.79	3.1	2.42987
sub-30	2.062	2.651	2.161	1.694	3.013	2.502	1.955	2.233	1.915	1.863	2.426	1.957	2.281	2.357	2.599	2.064	2.179	2.3	1.996	1.422	1.716	2.119	2.188	2.105	2.469	2.123	2.329	1.792	2.505	2.174	2.162	3.284	2.055	2.782	2.13771
sub-31	2.58	2.776	2.641	1.74	2.976	2.714	2.569	2.766	2.752	2.107	2.702	2.113	2.662	2.758	3.117	2.61	2.766	3.001	2.541	1.528	2.165	2.478	2.655	2.489	2.913	2.533	2.987	2.274	2.897	2.891	3.381	4.032	2.059	3.261	2.58722
