rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area
sub-12	919.0	592.0	2030.0	1245.0	293.0	2884.0	4507.0	3128.0	908.0	4371.0	2284.0	2356.0	1629.0	3163.0	624.0	1210.0	1181.0	773.0	1385.0	1076.0	3661.0	1107.0	4501.0	3265.0	456.0	4619.0	6136.0	4547.0	3267.0	3657.0	294.0	395.0	313.0	2030.0	74804.7
sub-13	775.0	797.0	2122.0	1707.0	432.0	2443.0	5508.0	2841.0	870.0	4670.0	2101.0	3488.0	2109.0	3631.0	562.0	1782.0	1205.0	827.0	1532.0	1991.0	3774.0	1244.0	4412.0	3399.0	714.0	5865.0	8085.0	4833.0	3289.0	3848.0	341.0	424.0	352.0	2077.0	84048.8
sub-14	876.0	861.0	2554.0	2026.0	511.0	3236.0	6340.0	3352.0	995.0	5186.0	3071.0	3319.0	2398.0	3923.0	577.0	1858.0	1622.0	996.0	1931.0	1783.0	4554.0	1454.0	5783.0	5128.0	689.0	7080.0	9045.0	6103.0	4389.0	4428.0	358.0	485.0	520.0	2358.0	99787.5
sub-15	927.0	838.0	1556.0	1474.0	422.0	2971.0	5942.0	3079.0	826.0	4665.0	2617.0	2861.0	2058.0	3207.0	525.0	1342.0	1441.0	794.0	1823.0	1219.0	3913.0	1063.0	3776.0	4182.0	706.0	4828.0	6329.0	5392.0	3239.0	4140.0	331.0	498.0	338.0	1850.0	81170.1
sub-16	984.0	800.0	2475.0	1741.0	462.0	3144.0	5021.0	3537.0	1074.0	5140.0	3129.0	3508.0	2248.0	3869.0	609.0	1626.0	1744.0	930.0	1856.0	1458.0	4207.0	1152.0	5552.0	5008.0	589.0	7096.0	7673.0	6078.0	4336.0	4265.0	335.0	517.0	409.0	2618.0	95190.0
sub-17	1035.0	629.0	2253.0	1863.0	395.0	3178.0	5351.0	2837.0	930.0	6513.0	2351.0	2858.0	1889.0	3288.0	599.0	1761.0	1559.0	995.0	1816.0	1518.0	3884.0	1082.0	4752.0	3423.0	490.0	6038.0	7528.0	5438.0	3909.0	3804.0	414.0	424.0	400.0	2201.0	87405.7
sub-18	867.0	863.0	1908.0	1689.0	420.0	3130.0	4858.0	3295.0	808.0	6389.0	2759.0	2823.0	2369.0	3361.0	564.0	1633.0	1281.0	970.0	1614.0	1502.0	4005.0	1090.0	5060.0	3385.0	832.0	5804.0	7680.0	4786.0	3536.0	3117.0	353.0	472.0	315.0	2465.0	86003.8
sub-19	947.0	586.0	1972.0	1720.0	387.0	2656.0	4720.0	3050.0	1007.0	6138.0	2826.0	3177.0	2247.0	3528.0	515.0	1468.0	1552.0	901.0	1550.0	1511.0	4014.0	1218.0	4771.0	4113.0	482.0	5563.0	7465.0	5004.0	3449.0	3180.0	345.0	469.0	320.0	2018.0	84869.9
sub-20	691.0	715.0	1876.0	1481.0	495.0	2645.0	4127.0	3323.0	989.0	5311.0	2448.0	3443.0	1805.0	3231.0	524.0	1634.0	1305.0	922.0	1758.0	1542.0	3912.0	1216.0	4876.0	3433.0	612.0	6336.0	7009.0	4163.0	3070.0	3164.0	335.0	580.0	330.0	2056.0	81357.3
sub-21	1180.0	754.0	2076.0	1901.0	351.0	2849.0	5953.0	3012.0	888.0	5658.0	2842.0	3430.0	2036.0	3167.0	640.0	1479.0	1148.0	778.0	1591.0	1743.0	4287.0	1135.0	4495.0	4101.0	637.0	6592.0	7653.0	5196.0	3950.0	3639.0	339.0	468.0	344.0	2153.0	88466.4
sub-22	824.0	652.0	1838.0	1708.0	480.0	2808.0	4730.0	3378.0	864.0	5692.0	2824.0	2950.0	2204.0	3505.0	601.0	1441.0	1065.0	961.0	1316.0	1624.0	3921.0	983.0	4983.0	3670.0	625.0	5805.0	7240.0	5781.0	3850.0	3702.0	357.0	516.0	380.0	2253.0	85531.6
sub-23	865.0	925.0	2009.0	2166.0	408.0	3175.0	4261.0	3084.0	837.0	5397.0	2631.0	3765.0	2275.0	3444.0	670.0	1731.0	1702.0	1042.0	2195.0	1731.0	4352.0	1127.0	6033.0	3494.0	678.0	7357.0	8376.0	4294.0	4114.0	3147.0	448.0	468.0	367.0	2142.0	90710.5
sub-24	960.0	579.0	2016.0	2034.0	305.0	2990.0	5425.0	2860.0	1158.0	6364.0	2976.0	3584.0	2086.0	3910.0	746.0	1385.0	1349.0	1016.0	1551.0	1694.0	4424.0	1206.0	5112.0	4156.0	487.0	6822.0	6857.0	5711.0	3955.0	3706.0	304.0	397.0	380.0	2399.0	90902.9
sub-25	797.0	525.0	1758.0	1458.0	375.0	2802.0	4710.0	2929.0	858.0	4141.0	2703.0	2358.0	2001.0	3019.0	584.0	1431.0	1357.0	920.0	1802.0	1129.0	3439.0	1346.0	4244.0	3496.0	498.0	6479.0	7121.0	4925.0	3878.0	3615.0	359.0	380.0	390.0	2118.0	79943.5
sub-26	767.0	644.0	1839.0	1632.0	330.0	2058.0	5778.0	2818.0	730.0	4891.0	2338.0	2917.0	1726.0	3245.0	477.0	1491.0	1213.0	777.0	1202.0	1349.0	3595.0	1080.0	4583.0	3564.0	633.0	5177.0	6975.0	4470.0	3348.0	2708.0	268.0	354.0	256.0	2023.0	77255.8
sub-27	1010.0	1264.0	2661.0	1623.0	499.0	3091.0	4869.0	3214.0	835.0	4778.0	3127.0	3765.0	2218.0	3637.0	581.0	1883.0	1360.0	1183.0	1668.0	1409.0	4126.0	1506.0	5413.0	4171.0	812.0	7236.0	8062.0	5193.0	4169.0	4146.0	394.0	476.0	442.0	2448.0	93269.8
sub-28	956.0	802.0	2087.0	1714.0	367.0	3729.0	5519.0	3839.0	1223.0	5916.0	2375.0	3705.0	2280.0	3971.0	745.0	1286.0	1606.0	825.0	1574.0	1772.0	3964.0	1218.0	4728.0	3832.0	654.0	7012.0	7328.0	5602.0	4023.0	4077.0	348.0	540.0	362.0	2075.0	92053.4
sub-29	902.0	916.0	2641.0	1582.0	460.0	3471.0	6457.0	2686.0	1055.0	4984.0	2811.0	3119.0	2184.0	3249.0	748.0	1601.0	1544.0	1026.0	1901.0	1349.0	3726.0	1207.0	4670.0	4295.0	830.0	6361.0	7943.0	6354.0	3646.0	3172.0	358.0	489.0	296.0	2396.0	90429.7
sub-30	830.0	517.0	2131.0	1787.0	366.0	2676.0	4660.0	3176.0	1030.0	6308.0	2699.0	3220.0	1856.0	3593.0	534.0	1205.0	1295.0	947.0	1534.0	1540.0	4033.0	978.0	4417.0	3265.0	423.0	5373.0	6405.0	4454.0	3690.0	2910.0	261.0	519.0	390.0	2235.0	81253.2
sub-31	725.0	544.0	2419.0	1589.0	532.0	3091.0	5089.0	2971.0	803.0	4903.0	2680.0	2684.0	2216.0	3215.0	640.0	1438.0	1259.0	743.0	1364.0	1323.0	4327.0	1003.0	5095.0	3921.0	440.0	5419.0	6748.0	4858.0	3910.0	3306.0	326.0	432.0	420.0	1939.0	82371.3
