lh.aparc.a2009s.volume	lh_G_and_S_frontomargin_volume	lh_G_and_S_occipital_inf_volume	lh_G_and_S_paracentral_volume	lh_G_and_S_subcentral_volume	lh_G_and_S_transv_frontopol_volume	lh_G_and_S_cingul-Ant_volume	lh_G_and_S_cingul-Mid-Ant_volume	lh_G_and_S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg_and_S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet_and_P_trans_volume	lh_S_oc_middle_and_Lunatus_volume	lh_S_oc_sup_and_transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med_and_Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume
sub-14	2689.0	3401.0	3319.0	3468.0	1961.0	4616.0	3030.0	3197.0	2013.0	710.0	3378.0	4159.0	1136.0	2448.0	10640.0	20485.0	1755.0	2763.0	4775.0	2596.0	3918.0	5648.0	4101.0	6917.0	7068.0	8385.0	6654.0	4069.0	7579.0	7301.0	2669.0	1069.0	1499.0	6907.0	2030.0	3119.0	6206.0	9940.0	505.0	629.0	2182.0	3944.0	6241.0	3628.0	4504.0	2015.0	1083.0	3017.0	2680.0	1730.0	584.0	4067.0	2432.0	5291.0	473.0	5291.0	1537.0	1368.0	815.0	1350.0	2701.0	653.0	1203.0	2761.0	3357.0	1459.0	3643.0	2364.0	2035.0	1410.0	1944.0	2006.0	11009.0	881.0
sub-15	2366.0	3010.0	2721.0	3186.0	1728.0	4596.0	2203.0	1951.0	1560.0	531.0	2220.0	3648.0	1190.0	2326.0	9188.0	17960.0	1686.0	2657.0	4443.0	1694.0	4396.0	4455.0	4111.0	6482.0	7028.0	7738.0	5895.0	3764.0	5027.0	6415.0	2384.0	709.0	1041.0	5825.0	1504.0	2418.0	6891.0	6965.0	334.0	432.0	1666.0	2429.0	4963.0	2132.0	2808.0	1745.0	842.0	2282.0	2361.0	1554.0	584.0	3101.0	1656.0	4234.0	691.0	4461.0	1350.0	1543.0	855.0	1056.0	2899.0	373.0	871.0	2712.0	2712.0	808.0	4410.0	2475.0	1340.0	1285.0	1477.0	2315.0	9510.0	586.0
sub-16	2231.0	3286.0	3251.0	3815.0	2512.0	5233.0	3026.0	2979.0	2004.0	758.0	2500.0	3268.0	1129.0	2426.0	10686.0	21037.0	1742.0	2714.0	4627.0	2335.0	5182.0	5696.0	4601.0	6942.0	5390.0	7693.0	5755.0	4949.0	6338.0	6556.0	2780.0	1541.0	787.0	5851.0	2203.0	1899.0	6530.0	8801.0	381.0	462.0	1229.0	3203.0	6294.0	2786.0	3586.0	1806.0	1272.0	2396.0	2815.0	1380.0	527.0	2838.0	2410.0	6083.0	690.0	3207.0	1231.0	1598.0	1585.0	1431.0	2977.0	598.0	1194.0	2326.0	2524.0	1575.0	4493.0	3022.0	1540.0	1120.0	2364.0	2620.0	9101.0	436.0
sub-17	2698.0	4016.0	2924.0	3690.0	2203.0	4511.0	2618.0	2383.0	1342.0	847.0	2936.0	4109.0	1772.0	3113.0	12090.0	19220.0	1505.0	2541.0	3486.0	2386.0	4924.0	6221.0	3104.0	7051.0	5359.0	8352.0	5327.0	4497.0	5944.0	5500.0	2696.0	673.0	1263.0	6542.0	2139.0	2731.0	6386.0	7121.0	367.0	392.0	1631.0	2921.0	5446.0	3231.0	3420.0	1445.0	1078.0	1884.0	2549.0	1416.0	726.0	3722.0	2417.0	4328.0	530.0	3386.0	1263.0	1364.0	874.0	1422.0	3501.0	536.0	1006.0	2358.0	3025.0	1072.0	4334.0	2514.0	1430.0	1839.0	1138.0	2181.0	8800.0	838.0
sub-18	2341.0	3060.0	2731.0	3220.0	1715.0	4684.0	2222.0	2262.0	1442.0	595.0	2586.0	3475.0	1216.0	2720.0	8983.0	16863.0	1789.0	2589.0	4412.0	2128.0	3826.0	4200.0	3039.0	6323.0	4545.0	7135.0	4605.0	3504.0	5404.0	4749.0	2202.0	1336.0	1159.0	5720.0	1929.0	1988.0	5232.0	7468.0	349.0	284.0	1589.0	3299.0	5721.0	2459.0	3147.0	1495.0	960.0	2047.0	2387.0	1516.0	512.0	2736.0	1804.0	3959.0	650.0	3155.0	1400.0	1283.0	916.0	1437.0	2784.0	497.0	1100.0	2131.0	2674.0	1064.0	3917.0	1739.0	1798.0	1135.0	1289.0	2054.0	7776.0	573.0
sub-19	1962.0	2889.0	2430.0	2492.0	1665.0	4701.0	2343.0	2228.0	1373.0	540.0	2919.0	3169.0	1579.0	3720.0	8576.0	17250.0	1541.0	2375.0	4056.0	2154.0	4160.0	3897.0	2728.0	6111.0	5656.0	6239.0	5434.0	3490.0	5898.0	5859.0	2703.0	1022.0	835.0	5041.0	1497.0	1443.0	6007.0	7631.0	316.0	486.0	1274.0	2554.0	5591.0	2062.0	3479.0	1357.0	986.0	1856.0	2148.0	1259.0	556.0	3255.0	2129.0	4372.0	442.0	4177.0	1245.0	1736.0	743.0	1114.0	3406.0	385.0	994.0	3015.0	3141.0	879.0	4208.0	2668.0	1888.0	732.0	1402.0	1842.0	9474.0	474.0
sub-20	2266.0	3184.0	2511.0	2712.0	1840.0	4061.0	2411.0	2309.0	1565.0	684.0	2408.0	3446.0	1096.0	2403.0	10142.0	17582.0	1732.0	2454.0	4652.0	2295.0	3878.0	4570.0	3864.0	6186.0	3922.0	5904.0	5462.0	3979.0	5565.0	6003.0	2641.0	1028.0	735.0	5333.0	1978.0	1451.0	6539.0	7715.0	389.0	367.0	1159.0	2972.0	6387.0	3004.0	3544.0	1383.0	828.0	1956.0	2192.0	1266.0	577.0	3180.0	1396.0	4468.0	290.0	3460.0	1182.0	1287.0	1311.0	955.0	2742.0	366.0	963.0	2244.0	2344.0	993.0	3655.0	2085.0	2369.0	1142.0	1355.0	2318.0	7690.0	480.0
sub-21	2127.0	2710.0	2735.0	3337.0	1679.0	5052.0	3034.0	3092.0	1872.0	629.0	3045.0	3792.0	1168.0	2812.0	10711.0	16636.0	1648.0	2624.0	4847.0	2663.0	4827.0	5428.0	3463.0	5321.0	6716.0	6685.0	5080.0	3283.0	5169.0	6525.0	2542.0	871.0	1078.0	6684.0	1934.0	2064.0	6922.0	6866.0	486.0	616.0	1593.0	2506.0	6154.0	3268.0	2992.0	1399.0	646.0	2608.0	2380.0	1531.0	739.0	4159.0	1668.0	5597.0	619.0	4409.0	1484.0	2172.0	1048.0	1698.0	3335.0	559.0	1077.0	2551.0	2789.0	1903.0	4401.0	2205.0	1756.0	1014.0	1797.0	2595.0	10961.0	739.0
sub-22	2252.0	4147.0	2561.0	3465.0	1856.0	4691.0	2308.0	2559.0	1284.0	535.0	2797.0	3093.0	969.0	2299.0	9647.0	17604.0	1357.0	2486.0	5460.0	2351.0	4265.0	4323.0	4358.0	6160.0	5912.0	6596.0	6180.0	3690.0	5158.0	5612.0	2132.0	1081.0	1236.0	5417.0	1855.0	1661.0	7101.0	6526.0	277.0	505.0	1286.0	2945.0	5842.0	2588.0	2934.0	1274.0	682.0	2098.0	2276.0	1885.0	652.0	3161.0	1349.0	4290.0	463.0	3532.0	1554.0	1574.0	1136.0	695.0	2393.0	393.0	973.0	2536.0	2806.0	1088.0	3213.0	2042.0	1516.0	972.0	1335.0	2208.0	8559.0	583.0
sub-23	3495.0	3872.0	2947.0	3514.0	2739.0	4827.0	2881.0	2726.0	1456.0	739.0	3725.0	3234.0	1432.0	3449.0	13494.0	20575.0	1624.0	2427.0	4584.0	2162.0	4457.0	5785.0	3514.0	7101.0	5916.0	7528.0	4841.0	3906.0	8231.0	4308.0	2921.0	919.0	1436.0	6664.0	2170.0	2137.0	7252.0	7724.0	359.0	522.0	1676.0	4285.0	5731.0	3374.0	3711.0	1529.0	668.0	2431.0	2395.0	1257.0	1065.0	3797.0	2664.0	5994.0	633.0	3351.0	1713.0	1384.0	704.0	1398.0	4217.0	531.0	874.0	2824.0	2723.0	1485.0	3594.0	2572.0	2954.0	1492.0	1287.0	2110.0	8237.0	500.0
sub-24	1851.0	3552.0	2662.0	3355.0	2039.0	4116.0	2275.0	2554.0	1517.0	580.0	3226.0	3543.0	1374.0	2599.0	9709.0	19232.0	1728.0	2618.0	5788.0	2484.0	5135.0	4644.0	2860.0	6794.0	6160.0	8751.0	6684.0	4153.0	6882.0	6021.0	2464.0	1012.0	1467.0	6612.0	2259.0	1888.0	5033.0	7888.0	398.0	543.0	1858.0	2849.0	4816.0	2583.0	3913.0	1436.0	1029.0	2292.0	2577.0	1421.0	519.0	5712.0	1899.0	3958.0	348.0	4666.0	1651.0	1696.0	1137.0	1401.0	3886.0	767.0	945.0	2375.0	3769.0	1253.0	4521.0	3694.0	2037.0	813.0	1596.0	2055.0	10709.0	697.0
sub-25	1357.0	2832.0	2328.0	3467.0	1799.0	4530.0	2420.0	2454.0	1295.0	508.0	2089.0	3860.0	1288.0	2410.0	9430.0	15790.0	1340.0	2083.0	3335.0	1711.0	4237.0	2817.0	3295.0	5527.0	5170.0	6182.0	5565.0	3123.0	4996.0	6537.0	2176.0	1016.0	1400.0	4973.0	1335.0	1523.0	6304.0	5875.0	627.0	372.0	1443.0	2069.0	3606.0	1731.0	3210.0	1528.0	991.0	2032.0	2387.0	1591.0	539.0	2568.0	1864.0	4878.0	380.0	4093.0	698.0	1474.0	669.0	1346.0	2800.0	385.0	864.0	1930.0	2720.0	1217.0	3593.0	1985.0	1704.0	745.0	1316.0	2195.0	7593.0	554.0
sub-26	1900.0	3846.0	3157.0	2813.0	1487.0	3767.0	2440.0	2544.0	1362.0	401.0	2489.0	3354.0	1431.0	2893.0	9998.0	16437.0	1420.0	2339.0	5146.0	2040.0	3670.0	4127.0	3733.0	6363.0	7130.0	6340.0	5854.0	3527.0	5740.0	5496.0	2677.0	1140.0	726.0	5487.0	1619.0	1382.0	6529.0	8273.0	398.0	469.0	1184.0	2697.0	5329.0	2423.0	3282.0	1839.0	886.0	2101.0	1879.0	1495.0	658.0	3046.0	1362.0	5641.0	325.0	4022.0	1167.0	1755.0	1497.0	972.0	2978.0	250.0	946.0	2071.0	2564.0	1189.0	2234.0	2162.0	1695.0	789.0	1415.0	2460.0	8025.0	395.0
sub-27	3023.0	2713.0	4115.0	3540.0	1608.0	4797.0	2607.0	2818.0	1418.0	776.0	2600.0	3519.0	1166.0	3047.0	12117.0	19761.0	1884.0	2617.0	5039.0	1975.0	4968.0	6270.0	4138.0	6578.0	4970.0	6461.0	6427.0	4812.0	6046.0	6175.0	2762.0	801.0	1338.0	5721.0	1764.0	2141.0	6725.0	7008.0	362.0	528.0	1496.0	3308.0	4450.0	2597.0	3553.0	1829.0	764.0	2275.0	2956.0	1858.0	695.0	3979.0	2347.0	6212.0	361.0	3982.0	1505.0	1503.0	1119.0	1619.0	3684.0	673.0	1145.0	2711.0	3560.0	1347.0	4023.0	2937.0	2053.0	1657.0	1398.0	2289.0	9378.0	722.0
sub-28	2435.0	3431.0	2381.0	3700.0	1842.0	5318.0	3378.0	2924.0	1837.0	791.0	3689.0	3090.0	994.0	2623.0	12206.0	17097.0	1374.0	1983.0	6308.0	2428.0	5271.0	6316.0	4254.0	6094.0	4557.0	6024.0	5889.0	4424.0	7315.0	6106.0	2792.0	788.0	1007.0	5971.0	2515.0	2536.0	7949.0	8110.0	363.0	437.0	1332.0	3074.0	3883.0	3250.0	4283.0	1445.0	833.0	2142.0	2402.0	2194.0	732.0	3095.0	2772.0	4381.0	322.0	5228.0	2069.0	1674.0	1331.0	1367.0	3443.0	488.0	1023.0	2430.0	3056.0	1488.0	3743.0	2726.0	2363.0	1063.0	1458.0	2565.0	9462.0	482.0
sub-29	2288.0	3244.0	2958.0	3176.0	1949.0	5526.0	2962.0	2739.0	1779.0	641.0	2769.0	2890.0	1302.0	2346.0	12234.0	18588.0	1811.0	2764.0	4877.0	2682.0	4593.0	4702.0	3056.0	7063.0	5750.0	5729.0	6274.0	3758.0	6277.0	6078.0	2409.0	978.0	1117.0	5321.0	1982.0	1000.0	6548.0	7892.0	409.0	449.0	1199.0	3456.0	5650.0	2117.0	3615.0	1688.0	1090.0	1821.0	2505.0	1705.0	641.0	3394.0	1919.0	4553.0	380.0	4310.0	907.0	1879.0	1345.0	1336.0	3632.0	348.0	967.0	2784.0	2301.0	1670.0	2726.0	3428.0	1477.0	800.0	1667.0	2562.0	9448.0	488.0
sub-30	1588.0	2907.0	1951.0	2606.0	1222.0	3378.0	1582.0	1731.0	867.0	595.0	2608.0	2301.0	859.0	2201.0	6511.0	13353.0	1368.0	1823.0	3768.0	1619.0	3783.0	4794.0	3194.0	4763.0	3944.0	4251.0	3980.0	3132.0	4815.0	3379.0	1951.0	1265.0	1137.0	5530.0	1806.0	1662.0	4717.0	5173.0	350.0	329.0	1263.0	2627.0	5063.0	2386.0	3534.0	1014.0	602.0	2232.0	2054.0	1369.0	392.0	2333.0	1579.0	3315.0	270.0	2362.0	1624.0	1143.0	879.0	1271.0	2638.0	341.0	816.0	2078.0	2304.0	1233.0	2616.0	2022.0	1671.0	848.0	960.0	1902.0	7102.0	550.0
sub-31	2359.0	3553.0	3066.0	3626.0	1646.0	4256.0	2756.0	2641.0	1410.0	479.0	2944.0	4175.0	1209.0	1974.0	11351.0	18802.0	1242.0	2399.0	4323.0	2696.0	4843.0	3392.0	3690.0	6463.0	5006.0	6888.0	5366.0	3561.0	6115.0	5463.0	2187.0	866.0	1543.0	6746.0	1616.0	1884.0	6393.0	7327.0	513.0	330.0	1483.0	2353.0	5379.0	2315.0	3465.0	1415.0	810.0	2372.0	2302.0	1438.0	594.0	3398.0	2272.0	4742.0	455.0	4575.0	1104.0	1301.0	916.0	1298.0	3412.0	502.0	920.0	2427.0	2642.0	1071.0	3775.0	3071.0	1801.0	1712.0	1222.0	1750.0	9224.0	606.0
