rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume
sub-13	1816.0	2461.0	5962.0	3208.0	1928.0	7312.0	15296.0	8493.0	2450.0	10484.0	6520.0	7916.0	6186.0	11809.0	1951.0	5019.0	3582.0	2605.0	4191.0	2652.0	8886.0	3541.0	12658.0	9250.0	2253.0	14883.0	24951.0	11580.0	10733.0	10851.0	1137.0	2226.0	1160.0	6933.0
sub-14	2022.0	2521.0	7119.0	3925.0	2238.0	9845.0	16609.0	10509.0	2402.0	12373.0	8595.0	7183.0	6898.0	12920.0	1881.0	4560.0	4239.0	3052.0	5130.0	2721.0	9759.0	4084.0	15520.0	12765.0	1947.0	18059.0	26718.0	13844.0	13799.0	11770.0	1223.0	2850.0	1403.0	7972.0
sub-15	2427.0	2650.0	4045.0	2398.0	1860.0	9902.0	16225.0	10477.0	2290.0	10528.0	8126.0	6326.0	6690.0	10803.0	1947.0	3499.0	4455.0	2574.0	5783.0	1622.0	8994.0	3169.0	9639.0	10884.0	2538.0	14299.0	20522.0	12043.0	10788.0	12312.0	1440.0	3008.0	931.0	7174.0
sub-16	2270.0	2323.0	6497.0	2989.0	2004.0	9613.0	13243.0	11308.0	3165.0	12387.0	8506.0	8043.0	6898.0	12410.0	2105.0	3915.0	4507.0	3204.0	5197.0	1891.0	8134.0	3488.0	14561.0	12365.0	2058.0	19725.0	24951.0	12524.0	13326.0	11537.0	1243.0	2640.0	977.0	8811.0
sub-17	2299.0	1903.0	6039.0	3283.0	1818.0	10232.0	14203.0	9812.0	2447.0	15184.0	7454.0	5936.0	5816.0	11465.0	1932.0	4473.0	4688.0	3747.0	5056.0	2300.0	8620.0	3112.0	12287.0	8848.0	1876.0	17082.0	24870.0	11826.0	12661.0	10600.0	1416.0	2240.0	1230.0	7264.0
sub-18	1842.0	2370.0	4986.0	2896.0	2224.0	9789.0	12361.0	9265.0	2157.0	14769.0	7951.0	6247.0	6572.0	11281.0	1474.0	3726.0	3395.0	3278.0	3911.0	2142.0	8255.0	3013.0	13235.0	8313.0	2494.0	14950.0	21644.0	9964.0	10637.0	7982.0	1163.0	1953.0	866.0	7631.0
sub-19	2240.0	1636.0	5357.0	3177.0	1952.0	7255.0	12288.0	8730.0	2428.0	12287.0	7908.0	6587.0	6510.0	11988.0	1559.0	3589.0	4257.0	2805.0	4275.0	2204.0	9373.0	3222.0	12422.0	10309.0	1379.0	15134.0	22273.0	11571.0	11063.0	8665.0	1265.0	2424.0	978.0	6462.0
sub-20	1513.0	1913.0	5010.0	3104.0	2871.0	8496.0	10841.0	11300.0	2541.0	12565.0	7761.0	7960.0	5777.0	10788.0	1842.0	3734.0	3480.0	2964.0	4754.0	2225.0	8418.0	3323.0	13165.0	9292.0	2223.0	16661.0	20959.0	9414.0	10240.0	8242.0	1251.0	3284.0	727.0	7397.0
sub-21	3023.0	2404.0	5875.0	3988.0	1546.0	9077.0	16014.0	9868.0	2312.0	13138.0	8044.0	7548.0	5396.0	10982.0	2232.0	3773.0	3648.0	2501.0	4731.0	2544.0	9407.0	3250.0	13267.0	10757.0	2094.0	17204.0	24503.0	12079.0	13796.0	10166.0	1176.0	2297.0	1179.0	6469.0
sub-22	1967.0	1896.0	4915.0	3491.0	2677.0	8333.0	12009.0	11882.0	2226.0	12640.0	8233.0	5922.0	5925.0	12172.0	2065.0	3529.0	3001.0	3335.0	3392.0	2670.0	8377.0	2722.0	13084.0	9352.0	1996.0	15599.0	21684.0	12240.0	12243.0	9858.0	1280.0	2714.0	1012.0	6807.0
sub-23	2196.0	2875.0	5784.0	4273.0	2160.0	9909.0	12151.0	10367.0	2340.0	13387.0	8004.0	8332.0	6456.0	12547.0	2405.0	4364.0	4888.0	4178.0	6564.0	2445.0	10720.0	3353.0	17054.0	9027.0	2096.0	20001.0	26381.0	10555.0	14071.0	9138.0	1510.0	2763.0	1144.0	7419.0
sub-24	2232.0	1267.0	5992.0	3837.0	1489.0	8712.0	15241.0	9299.0	3133.0	14183.0	8384.0	8141.0	6485.0	13924.0	2375.0	3571.0	3778.0	3249.0	4212.0	2519.0	9541.0	2981.0	14848.0	10813.0	1490.0	19396.0	21584.0	13769.0	11821.0	10677.0	1158.0	1716.0	929.0	7515.0
sub-25	1848.0	1429.0	4483.0	2820.0	1871.0	8130.0	12328.0	9101.0	1909.0	9128.0	7157.0	5075.0	5445.0	9402.0	1734.0	3510.0	3801.0	2877.0	4891.0	1652.0	7445.0	3700.0	11959.0	8714.0	1449.0	15582.0	20747.0	10707.0	11934.0	9777.0	1179.0	1711.0	962.0	6548.0
sub-26	1890.0	2274.0	5003.0	3032.0	1500.0	7252.0	17065.0	9892.0	2122.0	11617.0	7633.0	6342.0	4997.0	11819.0	1813.0	3972.0	3856.0	2911.0	3481.0	1701.0	8582.0	3063.0	13435.0	9715.0	2294.0	14623.0	22835.0	10814.0	12121.0	7954.0	1143.0	1754.0	790.0	6747.0
sub-27	2382.0	3610.0	6535.0	2759.0	1846.0	9908.0	12164.0	9942.0	2415.0	10844.0	8502.0	8398.0	6701.0	12741.0	1956.0	4713.0	3729.0	3352.0	4530.0	1850.0	9343.0	4499.0	14252.0	10392.0	2994.0	18469.0	22498.0	12292.0	12815.0	11352.0	1431.0	2056.0	966.0	7967.0
sub-28	2281.0	2164.0	5951.0	4010.0	1866.0	11658.0	15430.0	10897.0	3643.0	13027.0	7750.0	8934.0	6754.0	12245.0	2530.0	3368.0	5120.0	2860.0	4506.0	2730.0	8920.0	3362.0	13588.0	10775.0	1793.0	18949.0	22808.0	13628.0	13180.0	11015.0	1391.0	2138.0	1110.0	6785.0
sub-29	1884.0	2942.0	7056.0	2824.0	2213.0	10582.0	16754.0	8148.0	2911.0	10941.0	8280.0	7010.0	5943.0	11201.0	2224.0	4188.0	4429.0	3551.0	5128.0	1901.0	7460.0	3428.0	12574.0	10370.0	2717.0	16247.0	23138.0	14019.0	11268.0	8803.0	1348.0	2546.0	850.0	7408.0
sub-30	1544.0	1443.0	4793.0	3223.0	1586.0	7446.0	9901.0	7606.0	2091.0	12341.0	6692.0	7031.0	4538.0	9988.0	1642.0	2612.0	3030.0	2551.0	3354.0	1896.0	7390.0	2065.0	10170.0	7035.0	1117.0	12170.0	15950.0	8317.0	10184.0	6464.0	689.0	2314.0	885.0	5946.0
sub-31	1813.0	1779.0	7251.0	2797.0	1924.0	9289.0	14590.0	9827.0	2467.0	11001.0	7873.0	5828.0	6544.0	10581.0	2446.0	3881.0	4012.0	3025.0	3945.0	1721.0	10406.0	2697.0	14650.0	10359.0	1414.0	15723.0	22460.0	11980.0	13212.0	10397.0	1521.0	2762.0	914.0	6454.0
