Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-12	18.1677	41.7531	85.0077	53.2506	89.0355	70.9535	80.9216	99.3435	29.9215	15.6993	84.8084	61.8743	60.4046	37.6411	65.521	92.1759	56.5714	47.8125	15.0804	43.3553	84.6162	51.2319	86.4175	69.5042	79.8702	98.3555	60.8382	60.23	66.3306	90.1547	59.0	46.7653	0.0	69.036	0.0	0.0	0.0	0.0	0.0	67.7347	100.9276	89.4226	97.39	96.7067	102.9954
sub-13	17.6291	41.4541	83.2746	54.4139	83.81	68.4802	78.18	97.0489	29.0998	19.7372	83.987	59.8703	58.0411	33.9732	66.8084	90.7707	60.6667	44.5649	19.1179	43.9307	83.4091	54.0897	84.0474	68.8398	78.0964	96.8436	58.9887	58.5919	66.421	89.9858	54.5714	46.3641	0.0	65.5832	0.0	0.0	0.0	0.0	0.0	69.81	100.9113	90.6294	91.9357	93.5888	103.1605
sub-14	15.9086	39.6475	83.3736	56.9384	85.7219	72.612	82.8186	98.433	27.6608	20.0448	83.3468	59.7668	60.5959	35.5096	67.0582	90.7468	56.8667	46.7201	15.5878	32.0906	84.5726	55.8107	85.008	71.1928	82.2951	99.3189	60.5659	61.001	69.1211	91.502	60.2	45.1471	0.0	67.4297	0.0	0.0	0.0	0.0	0.0	74.695	99.3106	90.7626	94.808	96.2521	100.7931
sub-15	20.2629	44.5045	83.6301	57.1453	86.5437	72.6042	83.1112	100.5115	35.1934	21.8638	83.6325	62.6802	62.2364	36.8982	68.5188	92.6711	60.0	46.9184	21.8031	43.8286	81.7472	54.7329	84.0515	70.439	80.6997	97.709	60.4038	61.0857	69.0048	91.0868	60.8889	47.4434	0.0	69.0321	0.0	0.0	0.0	0.0	0.0	70.2131	99.2175	87.5712	95.1192	96.9894	101.4822
sub-16	15.568	36.671	83.3797	51.7644	85.8291	70.5939	79.9852	98.7356	26.0699	20.0286	84.2917	62.2863	61.7186	35.8944	66.8443	92.7866	58.4	47.2081	19.5343	42.1407	83.5402	51.5045	84.5756	69.5173	78.9749	97.1476	61.5129	61.8297	67.8587	92.0328	60.0	47.119	0.0	68.9914	0.0	0.0	0.0	0.0	0.0	67.6667	96.9678	88.5295	92.2682	94.2295	99.5525
sub-17	22.7596	35.9396	85.4931	56.9222	83.5387	70.6934	80.4084	98.2292	35.8476	19.9497	84.2931	60.1672	56.7557	32.143	67.5709	90.7368	57.5	49.5056	20.7672	36.9722	85.9975	56.3676	82.4633	70.981	80.4179	96.7155	60.2897	58.3721	68.6312	89.9304	0.0	48.4123	0.0	69.0673	0.0	0.0	0.0	0.0	0.0	69.6807	102.2644	92.0406	96.4324	101.2754	104.6553
sub-18	16.6132	40.9053	84.8144	57.2424	85.6982	71.2905	81.2971	100.4415	26.3058	18.1076	82.7352	59.7335	58.5394	30.684	68.135	89.853	60.2222	46.2075	16.6318	30.7846	85.743	57.5388	84.9647	69.8494	79.0352	98.1749	59.8081	60.0572	68.5385	89.9082	49.1667	47.0472	0.0	65.4146	0.0	0.0	0.0	0.0	0.0	72.7583	99.3743	88.1089	90.7388	93.8008	101.2547
sub-19	15.5599	46.1059	83.8191	52.3896	84.4982	72.2207	81.1823	99.1712	33.203	19.7838	82.5589	60.5679	59.66	36.4309	69.4296	91.2098	62.4167	45.8589	15.8615	38.9916	83.7286	51.589	86.0279	72.4098	80.8823	99.0935	59.2571	59.4419	70.3289	89.9643	51.6	46.3144	0.0	68.0182	0.0	0.0	0.0	0.0	0.0	71.9196	99.563	86.5318	98.0748	99.1171	102.7838
sub-20	15.393	40.7868	83.1931	55.0141	83.7989	71.2887	80.0632	97.8381	29.9313	19.9703	80.9998	60.48	58.6515	37.4304	65.9949	87.8133	59.4545	46.1861	18.7798	34.8743	83.8996	54.3569	83.9726	69.7909	79.8549	97.6189	60.7133	59.2603	66.7811	87.9006	53.4737	46.425	0.0	68.5906	0.0	0.0	0.0	0.0	0.0	64.2773	103.1279	89.7056	99.0092	97.554	99.757
sub-21	30.8658	48.0288	81.7619	55.0669	88.2122	72.8535	81.1161	98.0572	38.803	21.4548	81.7163	60.0182	60.5137	43.9057	68.008	89.2942	0.0	51.8485	31.9733	36.7642	82.064	54.4417	85.8939	71.35	80.6708	98.3218	60.553	61.2483	67.6519	89.9184	59.6957	53.7491	0.0	69.0037	0.0	0.0	0.0	0.0	0.0	67.4944	100.9309	90.7077	92.4413	95.1467	102.8177
sub-22	32.3007	40.2399	83.802	55.413	84.6756	72.2883	79.732	99.3614	39.1957	20.5543	81.0313	58.0535	57.9938	40.3162	65.9877	89.6866	57.9375	52.9425	26.8427	37.6624	83.354	54.8522	83.6849	72.5249	78.1272	98.7533	57.9629	57.6376	67.6775	88.8379	59.0833	50.4411	0.0	70.9526	0.0	0.0	0.0	0.0	0.0	78.3554	101.6873	95.6507	91.9815	91.2809	105.0898
sub-23	20.7591	44.6724	83.831	54.5457	80.9462	69.2104	79.2162	97.7995	32.6513	21.3633	82.8516	59.4139	57.9523	31.7635	65.3808	90.0568	56.2941	49.3741	20.8352	38.8793	82.3555	53.2476	81.4663	68.575	78.6098	98.9706	57.7692	55.9109	66.8698	88.8095	60.0	48.2345	0.0	72.0086	0.0	0.0	0.0	0.0	0.0	69.913	100.7442	97.0524	93.2159	96.2817	104.3612
sub-24	14.5128	44.6188	80.911	50.2962	84.1524	71.175	80.2347	96.5394	27.6385	17.4754	81.8649	60.3342	63.1659	30.2634	64.976	90.5507	58.3333	43.589	14.044	41.1586	82.3344	51.5449	82.7756	70.1885	79.7205	96.2308	60.411	61.8867	67.7523	88.6556	60.8333	44.0754	0.0	69.7583	0.0	0.0	0.0	0.0	0.0	70.4583	98.8606	93.1763	99.4962	104.184	105.2829
sub-25	19.8107	43.4803	82.4452	55.3055	84.7658	72.3654	81.2903	97.0166	29.7017	17.2577	82.8237	61.792	61.7341	32.4085	67.6747	90.507	53.1707	46.962	20.0564	39.9143	82.5522	54.8747	83.6899	71.9906	81.1362	96.6923	60.2525	59.4239	68.7572	90.0892	60.3846	49.8974	0.0	69.7299	0.0	0.0	0.0	0.0	0.0	65.8796	102.5	92.3869	94.9545	97.471	106.7376
sub-26	14.2986	43.4402	83.6861	56.1444	84.9153	70.9501	80.3079	96.5165	33.3185	19.542	81.4546	59.3555	59.6392	34.3984	65.8538	90.9743	58.6667	45.1207	14.6894	35.0427	82.1717	54.0463	85.7339	70.1644	80.9976	97.8225	58.8173	59.1021	67.0163	90.5501	59.2174	46.1343	0.0	68.7901	0.0	0.0	0.0	0.0	0.0	65.5321	99.3423	90.4748	100.9519	98.8873	100.937
sub-27	17.8664	42.0029	86.147	55.9837	85.3068	76.1943	83.522	100.3152	30.9141	21.1281	84.2282	62.9003	62.481	40.7854	71.1319	90.7756	62.5	46.6555	19.4383	34.4247	86.1662	55.1834	85.2161	74.1898	83.3735	101.4807	63.4388	64.128	72.9871	90.7476	62.0	50.4453	0.0	66.7895	0.0	0.0	0.0	0.0	0.0	75.2436	97.616	89.2018	96.5009	98.9796	102.4238
sub-28	15.7149	42.7374	82.9861	53.7728	83.8605	68.8576	78.8305	96.8577	21.5472	18.1805	83.2565	59.8007	60.4416	31.1398	64.4291	89.4607	58.6667	47.0583	15.0162	41.0617	85.8785	55.2278	84.7236	68.259	79.9117	98.5617	60.33	60.7382	66.426	90.253	0.0	49.1526	0.0	68.9298	0.0	0.0	0.0	0.0	0.0	61.6596	100.0454	87.7245	96.2668	96.3344	99.2151
sub-29	14.6464	39.8163	84.2847	55.2757	85.6299	73.5266	84.5133	101.4073	24.3884	23.6227	83.5976	61.7919	61.723	30.749	67.2946	90.3165	60.4848	41.9769	16.8889	41.8871	84.0632	55.0098	84.8002	71.6693	82.6904	100.1183	60.9043	61.4832	68.6192	89.7176	51.7403	45.0273	0.0	68.2175	0.0	0.0	0.0	0.0	0.0	67.5547	99.7049	84.1987	97.5072	97.5273	100.2011
sub-30	14.9825	44.8515	84.1576	52.7083	82.4113	73.9877	84.0811	99.5147	23.4167	15.2667	82.4835	58.0863	60.1179	25.9915	64.8144	90.6888	62.1818	44.7516	14.9767	39.0769	85.5266	53.8306	82.0507	71.0356	83.7251	99.53	59.9814	60.3333	66.0265	90.4347	62.8333	47.801	0.0	70.637	0.0	0.0	0.0	0.0	0.0	61.8485	99.92	84.8211	99.0096	95.7933	105.1723
sub-31	37.6203	41.1259	84.2266	55.5933	84.3287	72.9555	80.3737	97.6357	42.5651	26.4189	82.7237	59.9023	57.9443	50.1673	67.1636	90.2433	50.5094	60.4906	30.7822	38.0	83.8781	54.7865	82.085	72.0694	79.5085	96.4127	58.1617	56.2961	67.2553	89.0372	59.7857	57.2323	0.0	72.3671	0.0	0.0	0.0	0.0	0.0	67.6067	101.8881	95.3345	97.1426	100.7479	101.9268
